Number of species	8
Number of genes	3534
Number of genes in orthogroups	3116
Number of unassigned genes	418
Percentage of genes in orthogroups	88.2
Percentage of unassigned genes	11.8
Number of orthogroups	122
Number of species-specific orthogroups	9
Number of genes in species-specific orthogroups	787
Percentage of genes in species-specific orthogroups	22.3
Mean orthogroup size	25.5
Median orthogroup size	8.0
G50 (assigned genes)	118
G50 (all genes)	11
O50 (assigned genes)	8
O50 (all genes)	40
Number of orthogroups with all species present	54
Number of single-copy orthogroups	49
Date	2025-03-03
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	40	32.8	181	5.8
'1	60	49.2	502	16.1
'2	2	1.6	37	1.2
'3	1	0.8	26	0.8
'4	0	0.0	0	0.0
'5	2	1.6	85	2.7
'6	0	0.0	0	0.0
'7	3	2.5	179	5.7
'8	1	0.8	64	2.1
'9	0	0.0	0	0.0
'10	2	1.6	167	5.4
11-15	4	3.3	429	13.8
16-20	2	1.6	312	10.0
21-50	5	4.1	1134	36.4
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	9
2	15
3	6
4	8
5	11
6	10
7	9
8	54
