IQ-TREE multicore version 2.4.0 for MacOS Intel 64-bit built Feb 12 2025
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor, Heiko Schmidt,
Dominik Schrempf, Michael Woodhams, Ly Trong Nhan, Thomas Wong

Host:    Mac.home-life.hub (SSE4.2, 16 GB RAM)
Command: iqtree -s data/example_dating/dating_tips/dengue.nt.aln --date data/example_dating/dating_tips/calibrations.txt -redo
Seed:    627225 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Wed Apr  2 20:46:46 2025
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file data/example_dating/dating_tips/dengue.nt.aln ... Fasta format detected
Reading fasta file: done in 0.00167799 secs using 84.39% CPU
Alignment most likely contains DNA/RNA sequences
Alignment has 17 sequences with 1485 columns, 138 distinct patterns
130 parsimony-informative, 92 singleton sites, 1263 constant sites
           Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 1.40667e-05 secs using 71.09% CPU
   1  D4Brazi      0.00%    passed     99.91%
   2  D4ElSal1     0.00%    passed     99.68%
   3  D4ElSal2     0.00%    passed     99.91%
   4  D4Indon1     0.00%    passed     99.70%
   5  D4Indon2     0.00%    passed     99.15%
   6  D4Mexico     0.00%    passed     99.99%
   7  D4NewCal     0.00%    passed     99.91%
   8  D4Philip1    0.00%    passed     97.45%
   9  D4Philip2    0.00%    passed     99.78%
  10  D4Philip     0.00%    passed     99.91%
  11  D4PRico      0.00%    passed     98.24%
  12  D4SLanka     0.00%    passed     97.58%
  13  D4Tahiti1    0.00%    passed     99.83%
  14  D4Tahiti2    0.00%    passed     99.78%
  15  D4Thai1      0.00%    passed     99.74%
  16  D4Thai2      0.00%    passed     99.65%
  17  D4Thai3      0.00%    passed     99.89%
****  TOTAL        0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -3722.866
Optimal log-likelihood: -3722.863
Rate parameters:  A-C: 0.79115  A-G: 14.66606  A-T: 2.36001  C-G: 0.98126  C-T: 48.27645  G-T: 1.00000
Base frequencies:  A: 0.308  C: 0.188  G: 0.272  T: 0.232
Proportion of invariable sites: 0.423
Gamma shape alpha: 0.497
Parameters optimization took 1 rounds (0.005 sec)
Time for fast ML tree search: 0.050 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 1485 epsilon: 0.100) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         3791.563     39  7661.126     7663.285     7867.949
  2  GTR+F+I       3724.242     40  7528.485     7530.756     7740.612
  3  GTR+F+G4      3723.771     40  7527.541     7529.813     7739.668
  4  GTR+F+I+G4    3722.849     41  7527.697     7530.084     7745.127
  5  GTR+F+R2      3724.258     41  7530.516     7532.902     7747.946
  6  GTR+F+R3      3723.050     43  7532.100     7534.726     7760.136
 14  GTR+F+I+R2    3724.237     42  7532.473     7534.978     7755.206
 15  GTR+F+I+R3    3723.053     44  7534.107     7536.857     7767.446
 24  SYM+I         3747.635     37  7569.270     7571.213     7765.487
 25  SYM+G4        3747.196     37  7568.392     7570.336     7764.610
 26  SYM+I+G4      3746.288     38  7568.577     7570.627     7770.097
 27  SYM+R2        3747.611     38  7571.223     7573.273     7772.743
 46  TVM+F+I       3751.291     39  7580.582     7582.741     7787.405
 47  TVM+F+G4      3751.644     39  7581.288     7583.447     7788.112
 48  TVM+F+I+G4    3749.855     40  7579.709     7581.981     7791.836
 49  TVM+F+R2      3751.236     40  7582.473     7584.744     7794.599
 68  TVMe+I        3761.039     36  7594.077     7595.917     7784.992
 69  TVMe+G4       3761.054     36  7594.108     7595.948     7785.022
 70  TVMe+I+G4     3760.000     37  7594.000     7595.943     7790.217
 71  TVMe+R2       3760.989     37  7595.979     7597.922     7792.196
 90  TIM3+F+I      3725.395     38  7526.790     7528.840     7728.311
 91  TIM3+F+G4     3724.926     38  7525.852     7527.902     7727.373
 92  TIM3+F+I+G4   3724.013     39  7526.025     7528.184     7732.849
 93  TIM3+F+R2     3725.302     39  7528.603     7530.762     7735.427
112  TIM3e+I       3749.085     35  7568.170     7569.909     7753.781
113  TIM3e+G4      3748.648     35  7567.297     7569.036     7752.908
114  TIM3e+I+G4    3747.751     36  7567.502     7569.342     7758.416
115  TIM3e+R2      3748.960     36  7569.919     7571.759     7760.833
134  TIM2+F+I      3726.014     38  7528.027     7530.077     7729.548
