Orthogroup	B_glabrata_2	O_bimaculoides_2
OG0000000	B_glabrata|XP_013090931.1	O_bimaculoides|XP_014767873.1
OG0000000	B_glabrata|XP_013093167.1, B_glabrata|XP_013066259.1	O_bimaculoides|XP_014777119.1, O_bimaculoides|XP_014782583.1
OG0000007	B_glabrata|XP_013090876.1, B_glabrata|XP_013079326.1	O_bimaculoides|XP_014780359.1
OG0000007	B_glabrata|XP_013081957.1	O_bimaculoides|XP_014780502.1
OG0000007	B_glabrata|XP_013082062.1	O_bimaculoides|XP_014769873.1
OG0000007	B_glabrata|XP_013063618.1	O_bimaculoides|XP_014767862.1
OG0000007	B_glabrata|XP_013086911.1, B_glabrata|XP_013093880.1	O_bimaculoides|XP_014781016.1
OG0000009	B_glabrata|XP_013076273.1	O_bimaculoides|XP_014769217.1
OG0000009	B_glabrata|XP_013074409.1	O_bimaculoides|XP_014782742.1
OG0000009	B_glabrata|XP_013062473.1	O_bimaculoides|XP_014768316.1
OG0000009	B_glabrata|XP_013064161.1, B_glabrata|XP_013093678.1, B_glabrata|XP_013091514.1	O_bimaculoides|XP_014790175.1
OG0000009	B_glabrata|XP_013071348.1	O_bimaculoides|XP_014768598.1, O_bimaculoides|XP_014771819.1
OG0000011	B_glabrata|XP_013083200.1	O_bimaculoides|XP_014785327.1
OG0000015	B_glabrata|XP_013076970.1	O_bimaculoides|XP_014774750.1
OG0000015	B_glabrata|XP_013077189.1	O_bimaculoides|XP_014789051.1
OG0000017	B_glabrata|XP_013083785.1	O_bimaculoides|XP_014773512.1
OG0000019	B_glabrata|XP_013085161.1	O_bimaculoides|XP_014773657.1
OG0000019	B_glabrata|XP_013063444.1	O_bimaculoides|XP_014780698.1
OG0000020	B_glabrata|XP_013063795.1, B_glabrata|XP_013079560.1, B_glabrata|XP_013082920.1	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1
OG0000023	B_glabrata|XP_013069100.1	O_bimaculoides|XP_014787445.1
OG0000024	B_glabrata|XP_013079153.1	O_bimaculoides|XP_014778891.1
OG0000025	B_glabrata|XP_013070418.1	O_bimaculoides|XP_014789699.1
