Orthogroup	C_virginica_2	P_fucata_2
OG0000000	C_virginica|XP_022320371.1	P_fucata|Pma_10011348
OG0000003	C_virginica|XP_022337452.1	P_fucata|Pma_10016768, P_fucata|Pma_10018667
OG0000003	C_virginica|XP_022296188.1, C_virginica|XP_022301452.1	P_fucata|Pma_10005546
OG0000003	C_virginica|XP_022305689.1, C_virginica|XP_022309521.1	P_fucata|Pma_10010620, P_fucata|Pma_10029768
OG0000003	C_virginica|XP_022339384.1, C_virginica|XP_022328733.1, C_virginica|XP_022335146.1, C_virginica|XP_022330423.1, C_virginica|XP_022328732.1, C_virginica|XP_022335114.1, C_virginica|XP_022333687.1, C_virginica|XP_022333991.1, C_virginica|XP_022333686.1, C_virginica|XP_022333990.1	P_fucata|Pma_10026467, P_fucata|Pma_10026468
OG0000003	C_virginica|XP_022343542.1	P_fucata|Pma_10003317
OG0000003	C_virginica|XP_022309038.1, C_virginica|XP_022331274.1, C_virginica|XP_022337605.1, C_virginica|XP_022345326.1, C_virginica|XP_022310239.1, C_virginica|XP_022310854.1, C_virginica|XP_022310240.1, C_virginica|XP_022310856.1	P_fucata|Pma_231.16, P_fucata|Pma_10014369, P_fucata|Pma_10026952, P_fucata|Pma_10012847, P_fucata|Pma_10031664, P_fucata|Pma_10031663, P_fucata|Pma_10008865, P_fucata|Pma_10004263, P_fucata|Pma_10006091, P_fucata|Pma_10024776, P_fucata|Pma_10024777, P_fucata|Pma_10024778
OG0000003	C_virginica|XP_022339391.1	P_fucata|Pma_10.1359
OG0000003	C_virginica|XP_022332278.1	P_fucata|Pma_10004519, P_fucata|Pma_10004520, P_fucata|Pma_145.761, P_fucata|Pma_10002742, P_fucata|Pma_1.232, P_fucata|Pma_201.324, P_fucata|Pma_10007192, P_fucata|Pma_10028043, P_fucata|Pma_10021077, P_fucata|Pma_10001023, P_fucata|Pma_10021076, P_fucata|Pma_453.236, P_fucata|Pma_5.1168
OG0000003	C_virginica|XP_022344015.1, C_virginica|XP_022344065.1, C_virginica|XP_022335781.1, C_virginica|XP_022343659.1	P_fucata|Pma_10012077, P_fucata|Pma_10010621, P_fucata|Pma_10013353, P_fucata|Pma_10027183, P_fucata|Pma_10022603, P_fucata|Pma_328.141, P_fucata|Pma_10002536, P_fucata|Pma_10031633
OG0000003	C_virginica|XP_022295727.1, C_virginica|XP_022299926.1, C_virginica|XP_022295699.1, C_virginica|XP_022295728.1	P_fucata|Pma_10029981, P_fucata|Pma_10029982, P_fucata|Pma_10014538, P_fucata|Pma_10030213
OG0000003	C_virginica|XP_022304396.1	P_fucata|Pma_424.232, P_fucata|Pma_10029971, P_fucata|Pma_10018092
