Orthogroup	H_robusta_2	P_fucata_2
OG0000003	H_robusta|ESO09122.1	P_fucata|Pma_10019567, P_fucata|Pma_10026084, P_fucata|Pma_10016768, P_fucata|Pma_10018667, P_fucata|Pma_10005546, P_fucata|Pma_10010620, P_fucata|Pma_10029768, P_fucata|Pma_10026467, P_fucata|Pma_10026468, P_fucata|Pma_10022917, P_fucata|Pma_10013537, P_fucata|Pma_10006800, P_fucata|Pma_10012388, P_fucata|Pma_10024689, P_fucata|Pma_10024688, P_fucata|Pma_10003317, P_fucata|Pma_231.16, P_fucata|Pma_10014369, P_fucata|Pma_10026952, P_fucata|Pma_10012847, P_fucata|Pma_10031664, P_fucata|Pma_10031663, P_fucata|Pma_10008865, P_fucata|Pma_10004263, P_fucata|Pma_10006091, P_fucata|Pma_10024776, P_fucata|Pma_10024777, P_fucata|Pma_10024778, P_fucata|Pma_10.1359, P_fucata|Pma_10003793, P_fucata|Pma_10004519, P_fucata|Pma_10004520, P_fucata|Pma_145.761, P_fucata|Pma_10002742, P_fucata|Pma_1.232, P_fucata|Pma_201.324, P_fucata|Pma_10007192, P_fucata|Pma_10028043, P_fucata|Pma_10021077, P_fucata|Pma_10001023, P_fucata|Pma_10021076, P_fucata|Pma_453.236, P_fucata|Pma_5.1168, P_fucata|Pma_10012077, P_fucata|Pma_10010621, P_fucata|Pma_10013353, P_fucata|Pma_10027183, P_fucata|Pma_10022603, P_fucata|Pma_328.141, P_fucata|Pma_10002536, P_fucata|Pma_10031633, P_fucata|Pma_10026479, P_fucata|Pma_10018317, P_fucata|Pma_10029981, P_fucata|Pma_10029982, P_fucata|Pma_10014538, P_fucata|Pma_10030213, P_fucata|Pma_424.232, P_fucata|Pma_10029971, P_fucata|Pma_10018092
OG0000007	H_robusta|ESN93723.1	P_fucata|Pma_10017847
OG0000007	H_robusta|ESO04500.1	P_fucata|Pma_10010607, P_fucata|Pma_532.177
OG0000007	H_robusta|ESO04949.1	P_fucata|Pma_10023862
OG0000007	H_robusta|ESO09755.1	P_fucata|Pma_10001157
OG0000007	H_robusta|ESO01742.1	P_fucata|Pma_10023863
OG0000007	H_robusta|ESN95559.1	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649
OG0000007	H_robusta|ESO01497.1	P_fucata|Pma_10016536
OG0000007	H_robusta|ESN90430.1	P_fucata|Pma_10032672
OG0000007	H_robusta|ESN99512.1	P_fucata|Pma_10027249
OG0000007	H_robusta|ESN93724.1, H_robusta|ESO04948.1	P_fucata|Pma_10017849
OG0000007	H_robusta|ESO07165.1	P_fucata|Pma_10008710
OG0000009	H_robusta|ESO12556.1	P_fucata|Pma_10032418
OG0000009	H_robusta|ESN95234.1	P_fucata|Pma_10011588
OG0000009	H_robusta|ESO05234.1, H_robusta|ESN99757.1	P_fucata|Pma_10012832
OG0000009	H_robusta|ESO05551.1, H_robusta|ESO05549.1, H_robusta|ESO05547.1, H_robusta|ESO05561.1, H_robusta|ESO05580.1, H_robusta|ESO05560.1, H_robusta|ESO05555.1, H_robusta|ESO05548.1, H_robusta|ESN96742.1, H_robusta|ESN96743.1, H_robusta|ESO05658.1, H_robusta|ESO05557.1, H_robusta|ESO05562.1, H_robusta|ESO05579.1, H_robusta|ESO05553.1, H_robusta|ESO05565.1, H_robusta|ESN90439.1, H_robusta|ESN93770.1	P_fucata|Pma_325.96
OG0000011	H_robusta|ESN93667.1	P_fucata|Pma_10023646
OG0000011	H_robusta|ESO04681.1	P_fucata|Pma_10011539
OG0000015	H_robusta|ESN99536.1	P_fucata|Pma_10020663
OG0000015	H_robusta|ESO05631.1	P_fucata|Pma_10001006
