Orthogroup	A_granulata_2	S_constricta_2
OG0000000	A_granulata|model.g24978.t1_1	S_constricta|evm.model.ctg599.11, S_constricta|evm.model.ctg125.4, S_constricta|evm.model.ctg227.23
OG0000003	A_granulata|model.g26226.t1_1	S_constricta|evm.model.ctg805.3
OG0000003	A_granulata|model.g24679.t1_1	S_constricta|evm.model.ctg377.32_evm.model.ctg377.31, S_constricta|evm.model.ctg377.30, S_constricta|evm.model.ctg1004.8, S_constricta|evm.model.ctg2331.1, S_constricta|evm.model.ctg55.55, S_constricta|evm.model.ctg2331.2, S_constricta|evm.model.ctg2230.1, S_constricta|evm.model.ctg101.5, S_constricta|evm.model.ctg416.3
OG0000003	A_granulata|model.g21540.t1_1	S_constricta|evm.model.ctg88.8
OG0000003	A_granulata|model.g12389.t1.1.5d3b8706_1	S_constricta|evm.model.ctg642.12, S_constricta|evm.model.ctg401.21, S_constricta|evm.model.ctg859.5, S_constricta|evm.model.ctg1045.8
OG0000003	A_granulata|model.g24762.t1_1	S_constricta|evm.model.ctg370.15, S_constricta|evm.model.ctg370.16.1, S_constricta|evm.model.ctg370.17.1, S_constricta|evm.model.ctg52.31, S_constricta|evm.model.ctg791.11, S_constricta|evm.model.ctg1599.1, S_constricta|evm.model.ctg791.12, S_constricta|evm.model.ctg3910.2, S_constricta|evm.model.ctg46.3, S_constricta|evm.model.ctg140.28, S_constricta|evm.model.ctg140.29, S_constricta|evm.model.ctg2046.12, S_constricta|evm.model.ctg5546.1, S_constricta|evm.model.ctg2046.11, S_constricta|evm.model.ctg2046.13, S_constricta|evm.model.ctg1840.1, S_constricta|evm.model.ctg140.26, S_constricta|evm.model.ctg2046.10, S_constricta|evm.model.ctg1771.1, S_constricta|evm.model.ctg1977.1, S_constricta|evm.model.ctg1708.1, S_constricta|evm.model.ctg1755.1, S_constricta|evm.model.ctg125.83, S_constricta|evm.model.ctg142.51.1, S_constricta|evm.model.ctg4263.1, S_constricta|evm.model.ctg1804.2
OG0000007	A_granulata|model.g6273.t1_1, A_granulata|model.g6272.t1_1	S_constricta|evm.model.ctg436.5
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.707_1	S_constricta|evm.model.ctg412.18
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.411_1	S_constricta|evm.model.ctg380.19
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.301_1	S_constricta|evm.model.ctg2181.2
OG0000007	A_granulata|model.g6264.t1_model.g6265.t1_1	S_constricta|evm.model.ctg412.15
OG0000007	A_granulata|model.g6275.t1_1	S_constricta|evm.model.ctg436.7
OG0000007	A_granulata|model.g13936.t1_1	S_constricta|evm.model.ctg306.3
OG0000007	A_granulata|model.g13938.t1_1	S_constricta|evm.model.ctg306.4
OG0000007	A_granulata|evm.model.Super-Scaffold_100006.1323_1	S_constricta|evm.model.ctg562.15
OG0000007	A_granulata|model.g6274.t1_1	S_constricta|evm.model.ctg436.4
OG0000009	A_granulata|evm.model.Super-Scaffold_100004.157_1	S_constricta|evm.model.ctg76.11
OG0000009	A_granulata|evm.model.Super-Scaffold_100013.618_1	S_constricta|evm.model.ctg138.15, S_constricta|evm.model.ctg885.2
OG0000009	A_granulata|evm.model.Super-Scaffold_100002.833_1, A_granulata|evm.model.Super-Scaffold_100013.583_1	S_constricta|evm.model.ctg6778.1
OG0000009	A_granulata|evm.model.Super-Scaffold_505.1121_1, A_granulata|evm.model.Super-Scaffold_100006.676_1, A_granulata|evm.model.Super-Scaffold_505.1606_1	S_constricta|evm.model.ctg923.6
OG0000009	A_granulata|model.g14108.t1_1	S_constricta|evm.model.ctg1144.9
OG0000011	A_granulata|model.g14860.t1_1	S_constricta|evm.model.ctg366.24
OG0000015	A_granulata|evm.model.Super-Scaffold_100057.39_1, A_granulata|model.g20494.t1_1	S_constricta|evm.model.ctg6408.1, S_constricta|evm.model.ctg109.15
OG0000015	A_granulata|evm.model.Super-Scaffold_100002.249_1	S_constricta|evm.model.ctg528.30
OG0000016	A_granulata|evm.model.Super-Scaffold_100003.698_1	S_constricta|evm.model.ctg599.25, S_constricta|evm.model.ctg769.1, S_constricta|evm.model.ctg942.2, S_constricta|evm.model.ctg658.15, S_constricta|evm.model.ctg658.14
OG0000016	A_granulata|evm.model.Super-Scaffold_100019.314_1, A_granulata|model.g20194.t1_1, A_granulata|evm.model.Super-Scaffold_100016.112_1, A_granulata|model.g19855.t1_1, A_granulata|evm.model.Super-Scaffold_505.1528_1, A_granulata|model.g26165.t1_1, A_granulata|evm.model.Super-Scaffold_100005.476_1, A_granulata|evm.model.Super-Scaffold_100037.2_1, A_granulata|model.g8906.t1_1	S_constricta|evm.model.ctg496.5, S_constricta|evm.model.ctg6.81, S_constricta|evm.model.ctg174.7
OG0000019	A_granulata|model.g7414.t1_1	S_constricta|evm.model.ctg9.1, S_constricta|evm.model.ctg128.7
OG0000019	A_granulata|model.g14035.t1_1	S_constricta|evm.model.ctg859.12
OG0000019	A_granulata|model.g11695.t1_1	S_constricta|evm.model.ctg139.17
OG0000019	A_granulata|model.g7451.t1_1	S_constricta|evm.model.ctg510.19
OG0000019	A_granulata|model.g11738.t1.5.5d3b86a4_1	S_constricta|evm.model.ctg84.12
OG0000019	A_granulata|model.g8205.t1_1	S_constricta|evm.model.ctg131.23, S_constricta|evm.model.ctg131.22
OG0000020	A_granulata|model.g29636.t1_1, A_granulata|evm.model.Super-Scaffold_100008.138_1, A_granulata|evm.model.Super-Scaffold_505.2085_1, A_granulata|model.g28815.t1_1, A_granulata|model.g12858.t1_1, A_granulata|model.g31254.t1.2.5d3b8d4b_1, A_granulata|model.g28987.t1_1, A_granulata|model.g30887.t1_1, A_granulata|evm.model.Super-Scaffold_505.316_1	S_constricta|evm.model.ctg636.4_evm.model.ctg636.5
OG0000021	A_granulata|model.g31071.t1_1, A_granulata|evm.model.Super-Scaffold_100012.51_1	S_constricta|evm.model.ctg1671.1, S_constricta|evm.model.ctg3068.1
OG0000023	A_granulata|evm.model.Super-Scaffold_100002.117_1	S_constricta|evm.model.ctg238.53
OG0000024	A_granulata|evm.model.Super-Scaffold_100005.884_1	S_constricta|evm.model.ctg14.39
OG0000025	A_granulata|evm.model.Super-Scaffold_100008.679_1	S_constricta|evm.model.ctg97.43
OG0000026	A_granulata|evm.model.Super-Scaffold_100010.607_1	S_constricta|evm.model.ctg1004.16
OG0000027	A_granulata|evm.model.Super-Scaffold_100013.373_1	S_constricta|evm.model.ctg660.7
