Orthogroup	O_bimaculoides_2	P_fucata_2
OG0000000	O_bimaculoides|XP_014767873.1	P_fucata|Pma_10011348
OG0000007	O_bimaculoides|XP_014780359.1	P_fucata|Pma_10001157
OG0000007	O_bimaculoides|XP_014780502.1	P_fucata|Pma_10023863
OG0000007	O_bimaculoides|XP_014769873.1	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649
OG0000007	O_bimaculoides|XP_014767862.1	P_fucata|Pma_10016536
OG0000007	O_bimaculoides|XP_014781016.1	P_fucata|Pma_10008710
OG0000009	O_bimaculoides|XP_014769217.1	P_fucata|Pma_10032418
OG0000009	O_bimaculoides|XP_014782742.1	P_fucata|Pma_10025848, P_fucata|Pma_10012721
OG0000009	O_bimaculoides|XP_014790175.1	P_fucata|Pma_10020874
OG0000009	O_bimaculoides|XP_014768598.1, O_bimaculoides|XP_014771819.1	P_fucata|Pma_325.96
OG0000011	O_bimaculoides|XP_014785327.1	P_fucata|Pma_10023646
OG0000017	O_bimaculoides|XP_014773512.1	P_fucata|Pma_10029257, P_fucata|Pma_10029259, P_fucata|Pma_10024934
OG0000019	O_bimaculoides|XP_014781196.1	P_fucata|Pma_10019755
OG0000019	O_bimaculoides|XP_014772300.1	P_fucata|Pma_10004783, P_fucata|Pma_10004784
OG0000019	O_bimaculoides|XP_014780698.1	P_fucata|Pma_10023026, P_fucata|Pma_10013841, P_fucata|Pma_10003080
OG0000020	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1	P_fucata|Pma_10019387, P_fucata|Pma_10020902, P_fucata|Pma_10026027, P_fucata|Pma_10001746
OG0000023	O_bimaculoides|XP_014787445.1	P_fucata|Pma_10014854
OG0000024	O_bimaculoides|XP_014778891.1	P_fucata|Pma_10012487
OG0000025	O_bimaculoides|XP_014789699.1	P_fucata|Pma_10016699
OG0000026	O_bimaculoides|XP_014789426.1	P_fucata|Pma_10004014
OG0000027	O_bimaculoides|XP_014788131.1	P_fucata|Pma_10008115
OG0000028	O_bimaculoides|XP_014790475.1	P_fucata|Pma_10025415
OG0000029	O_bimaculoides|XP_014772627.1	P_fucata|Pma_10031590
OG0000030	O_bimaculoides|XP_014784674.1	P_fucata|Pma_10019276
OG0000031	O_bimaculoides|XP_014787618.1	P_fucata|Pma_10004601
OG0000032	O_bimaculoides|XP_014773878.1	P_fucata|Pma_10001679
OG0000033	O_bimaculoides|XP_014769418.1	P_fucata|Pma_10026789
OG0000034	O_bimaculoides|XP_014777276.1	P_fucata|Pma_10032131
OG0000035	O_bimaculoides|XP_014772225.1	P_fucata|Pma_10016128
OG0000036	O_bimaculoides|XP_014776166.1	P_fucata|Pma_10028537
OG0000037	O_bimaculoides|XP_014785114.1	P_fucata|Pma_10007898
OG0000038	O_bimaculoides|XP_014773522.1	P_fucata|Pma_225.222
OG0000039	O_bimaculoides|XP_014772348.1	P_fucata|Pma_10017118
OG0000040	O_bimaculoides|XP_014788148.1	P_fucata|Pma_10009782
OG0000041	O_bimaculoides|XP_014773542.1	P_fucata|Pma_10020132
OG0000042	O_bimaculoides|XP_014775340.1	P_fucata|Pma_10002130
OG0000043	O_bimaculoides|XP_014783376.1	P_fucata|Pma_10008006
OG0000044	O_bimaculoides|XP_014767759.1	P_fucata|Pma_10030088
OG0000045	O_bimaculoides|XP_014774176.1	P_fucata|Pma_10002234
OG0000046	O_bimaculoides|XP_014772041.1	P_fucata|Pma_10027324
OG0000047	O_bimaculoides|XP_014770126.1	P_fucata|Pma_10023216
OG0000048	O_bimaculoides|XP_014783673.1	P_fucata|Pma_10003678
OG0000049	O_bimaculoides|XP_014790578.1	P_fucata|Pma_10020653
OG0000050	O_bimaculoides|XP_014773139.1	P_fucata|Pma_10006139
OG0000051	O_bimaculoides|XP_014776868.1	P_fucata|Pma_10021729
OG0000052	O_bimaculoides|XP_014790391.1	P_fucata|Pma_10014024
OG0000053	O_bimaculoides|XP_014778145.1	P_fucata|Pma_10029871
OG0000054	O_bimaculoides|XP_014779552.1	P_fucata|Pma_10029064
OG0000055	O_bimaculoides|XP_014775648.1	P_fucata|Pma_10017450
OG0000056	O_bimaculoides|XP_014783300.1	P_fucata|Pma_10015971
OG0000057	O_bimaculoides|XP_014774168.1	P_fucata|Pma_10013840
OG0000058	O_bimaculoides|XP_014785555.1	P_fucata|Pma_10014039
OG0000059	O_bimaculoides|XP_014789933.1	P_fucata|Pma_10022791
OG0000060	O_bimaculoides|XP_014776694.1	P_fucata|Pma_10022841
OG0000061	O_bimaculoides|XP_014790210.1	P_fucata|Pma_10032223
OG0000062	O_bimaculoides|XP_014772987.1	P_fucata|Pma_10006927
OG0000063	O_bimaculoides|XP_014776218.1	P_fucata|Pma_10026025
OG0000064	O_bimaculoides|XP_014783678.1	P_fucata|Pma_10001281
OG0000065	O_bimaculoides|XP_014772273.1	P_fucata|Pma_10008428
OG0000066	O_bimaculoides|XP_014778623.1	P_fucata|Pma_10031684
OG0000067	O_bimaculoides|XP_014771836.1	P_fucata|Pma_10022889
OG0000068	O_bimaculoides|XP_014789121.1	P_fucata|Pma_10017451
OG0000069	O_bimaculoides|XP_014772840.1	P_fucata|Pma_10015959
OG0000070	O_bimaculoides|XP_014789614.1	P_fucata|Pma_10013995
