Orthogroup	A_granulata_2	P_fucata_2
OG0000000	A_granulata|model.g24978.t1_1	P_fucata|Pma_10011348
OG0000003	A_granulata|model.g26226.t1_1	P_fucata|Pma_10019567, P_fucata|Pma_10026084, P_fucata|Pma_10016768, P_fucata|Pma_10018667
OG0000003	A_granulata|model.g8281.t1_1	P_fucata|Pma_10006800
OG0000003	A_granulata|model.g24679.t1_1	P_fucata|Pma_10012388, P_fucata|Pma_10024689, P_fucata|Pma_10024688
OG0000003	A_granulata|model.g21540.t1_1	P_fucata|Pma_10003317
OG0000003	A_granulata|model.g12389.t1.1.5d3b8706_1	P_fucata|Pma_10.1359
OG0000003	A_granulata|model.g24762.t1_1	P_fucata|Pma_10026479, P_fucata|Pma_10018317, P_fucata|Pma_10029981, P_fucata|Pma_10029982, P_fucata|Pma_10014538, P_fucata|Pma_10030213, P_fucata|Pma_424.232, P_fucata|Pma_10029971, P_fucata|Pma_10018092
OG0000006	A_granulata|evm.model.Super-Scaffold_100019.10_1, A_granulata|evm.model.Super-Scaffold_100018.99_1, A_granulata|evm.model.Super-Scaffold_100059.43_1, A_granulata|evm.model.Super-Scaffold_100002.1619_1, A_granulata|evm.model.Super-Scaffold_505.2151_1, A_granulata|model.g5371.t1_1, A_granulata|model.g26917.t1_1, A_granulata|evm.model.Super-Scaffold_100019.365_1, A_granulata|evm.model.Super-Scaffold_100033.110_1, A_granulata|evm.model.Super-Scaffold_100019.47_1, A_granulata|evm.model.Super-Scaffold_100011.940_1, A_granulata|model.g15406.t1_1, A_granulata|evm.model.Super-Scaffold_100015.682_1, A_granulata|evm.model.Super-Scaffold_100018.82_1, A_granulata|evm.model.Super-Scaffold_505.2186_1, A_granulata|evm.model.Super-Scaffold_100003.1045_1, A_granulata|evm.model.Super-Scaffold_100020.285_1, A_granulata|evm.model.Super-Scaffold_100017.102_1, A_granulata|evm.model.Super-Scaffold_100008.70_1, A_granulata|evm.model.Super-Scaffold_6845.209_1, A_granulata|evm.model.Super-Scaffold_100005.467_1, A_granulata|evm.model.Super-Scaffold_100003.479_1, A_granulata|evm.model.Super-Scaffold_100029.49_1, A_granulata|evm.model.Super-Scaffold_100018.403_1, A_granulata|evm.model.Super-Scaffold_100003.9_1, A_granulata|evm.model.Super-Scaffold_100016.318_1, A_granulata|evm.model.Super-Scaffold_100018.71_1, A_granulata|evm.model.Super-Scaffold_100018.55_1, A_granulata|evm.model.Super-Scaffold_100009.812_1, A_granulata|evm.model.Super-Scaffold_100004.1225_1, A_granulata|evm.model.Super-Scaffold_100010.504_1, A_granulata|evm.model.Super-Scaffold_100003.1227_1, A_granulata|evm.model.Super-Scaffold_100011.9_1, A_granulata|evm.model.Super-Scaffold_100018.418_1, A_granulata|evm.model.Super-Scaffold_100002.1953_1, A_granulata|evm.model.Super-Scaffold_100006.260_1, A_granulata|evm.model.Super-Scaffold_100008.854_1, A_granulata|evm.model.Super-Scaffold_100013.273_1, A_granulata|evm.model.Super-Scaffold_100003.581_1, A_granulata|evm.model.Super-Scaffold_505.1008_1, A_granulata|evm.model.Super-Scaffold_100007.501_1, A_granulata|evm.model.Super-Scaffold_100019.4_1, A_granulata|evm.model.Super-Scaffold_100015.621_1, A_granulata|evm.model.Super-Scaffold_100018.479_1, A_granulata|evm.model.Super-Scaffold_100013.490_1, A_granulata|evm.model.Super-Scaffold_100016.180_1, A_granulata|model.g26257.t1_1, A_granulata|evm.model.Super-Scaffold_100003.478_1, A_granulata|evm.model.Super-Scaffold_100005.137_1, A_granulata|evm.model.Super-Scaffold_100005.473_1, A_granulata|evm.model.Super-Scaffold_100005.1041_1, A_granulata|evm.model.Super-Scaffold_100002.55_1, A_granulata|evm.model.Super-Scaffold_100005.869_1, A_granulata|evm.model.Super-Scaffold_100002.162_1, A_granulata|evm.model.Super-Scaffold_100023.260_1, A_granulata|model.g22320.t1_1, A_granulata|model.g18176.t1_1, A_granulata|model.g8844.t1_1, A_granulata|evm.model.Super-Scaffold_505.890_1, A_granulata|evm.model.Super-Scaffold_100007.674_1, A_granulata|evm.model.Super-Scaffold_100008.811_1, A_granulata|evm.model.Super-Scaffold_100025.67_1, A_granulata|evm.model.Super-Scaffold_100006.1011_1, A_granulata|evm.model.Super-Scaffold_100007.57_1, A_granulata|evm.model.Super-Scaffold_100006.1089_1, A_granulata|evm.model.Super-Scaffold_100008.157_1, A_granulata|evm.model.Super-Scaffold_100011.821_1, A_granulata|evm.model.Super-Scaffold_100004.71_1, A_granulata|evm.model.Super-Scaffold_100008.439_1, A_granulata|evm.model.Super-Scaffold_100004.37_1, A_granulata|evm.model.Super-Scaffold_100004.474_1, A_granulata|evm.model.Super-Scaffold_100002.1950_1, A_granulata|model.g5787.t1_1, A_granulata|evm.model.Super-Scaffold_100022.359_1, A_granulata|evm.model.Super-Scaffold_100008.401_1, A_granulata|evm.model.Super-Scaffold_100004.981_1, A_granulata|evm.model.Super-Scaffold_100019.53_1, A_granulata|model.g3623.t1_1, A_granulata|evm.model.Super-Scaffold_505.2013_1, A_granulata|model.g11490.t1_1, A_granulata|evm.model.Super-Scaffold_100018.471_1, A_granulata|evm.model.Super-Scaffold_100009.793_1, A_granulata|evm.model.Super-Scaffold_100018.142_1, A_granulata|evm.model.Super-Scaffold_505.129_1, A_granulata|evm.model.Super-Scaffold_100002.433_1, A_granulata|evm.model.Super-Scaffold_100018.43_1, A_granulata|evm.model.Super-Scaffold_100003.1107_1, A_granulata|evm.model.Super-Scaffold_505.1857_1, A_granulata|evm.model.Super-Scaffold_100017.164_1, A_granulata|model.g26187.t1_1, A_granulata|evm.model.Super-Scaffold_100004.83_1, A_granulata|model.g2640.t1_1, A_granulata|evm.model.Super-Scaffold_100007.202_1, A_granulata|evm.model.Super-Scaffold_100006.517_1, A_granulata|evm.model.Super-Scaffold_505.2092_1, A_granulata|evm.model.Super-Scaffold_100026.18_1, A_granulata|evm.model.Super-Scaffold_100007.614_1, A_granulata|evm.model.Super-Scaffold_505.2154_1, A_granulata|evm.model.Super-Scaffold_100018.134_1, A_granulata|model.g5630.t1_1, A_granulata|evm.model.Super-Scaffold_100006.1008_1, A_granulata|evm.model.Super-Scaffold_100002.547_1, A_granulata|model.g425.t1_1, A_granulata|evm.model.Super-Scaffold_100009.797_1, A_granulata|model.g23985.t1_1, A_granulata|evm.model.Super-Scaffold_505.2149_1, A_granulata|evm.model.Super-Scaffold_100002.1811_1, A_granulata|evm.model.Super-Scaffold_100007.618_1, A_granulata|evm.model.Super-Scaffold_100026.204_1, A_granulata|evm.model.Super-Scaffold_100010.13_1, A_granulata|evm.model.Super-Scaffold_100015.160_1, A_granulata|evm.model.Super-Scaffold_100010.753_1, A_granulata|evm.model.Super-Scaffold_100011.732_1, A_granulata|evm.model.Super-Scaffold_505.1995_1, A_granulata|evm.model.Super-Scaffold_100010.727_1, A_granulata|evm.model.Super-Scaffold_100018.42_1, A_granulata|evm.model.Super-Scaffold_100004.1289_1, A_granulata|evm.model.Super-Scaffold_100008.823_1, A_granulata|evm.model.Super-Scaffold_100033.81_1, A_granulata|evm.model.Super-Scaffold_100018.284_1, A_granulata|evm.model.Super-Scaffold_100007.58_1, A_granulata|evm.model.Super-Scaffold_100018.57_1, A_granulata|model.g13670.t1_1, A_granulata|model.g2460.t1_1, A_granulata|evm.model.Super-Scaffold_100002.278_1, A_granulata|model.g26937.t1_1, A_granulata|evm.model.Super-Scaffold_100012.701_1, A_granulata|evm.model.Super-Scaffold_505.70_1, A_granulata|model.g26966.t1_1, A_granulata|evm.model.Super-Scaffold_6845.204_1, A_granulata|evm.model.Super-Scaffold_100006.622_1, A_granulata|evm.model.Super-Scaffold_100004.70_1, A_granulata|evm.model.Super-Scaffold_100019.356_1, A_granulata|evm.model.Super-Scaffold_100011.603_1, A_granulata|model.g12005.t1_1, A_granulata|evm.model.Super-Scaffold_100015.665_1, A_granulata|evm.model.Super-Scaffold_100021.413_1, A_granulata|model.g9850.t1_1, A_granulata|model.g14027.t1_1, A_granulata|evm.model.Super-Scaffold_100019.5_1, A_granulata|model.g11643.t1_1, A_granulata|evm.model.Super-Scaffold_100006.96_1, A_granulata|evm.model.Super-Scaffold_505.1159_1, A_granulata|evm.model.Super-Scaffold_100003.419_1, A_granulata|evm.model.Super-Scaffold_100021.317_1, A_granulata|evm.model.Super-Scaffold_100007.56_1, A_granulata|evm.model.Super-Scaffold_100021.214_1, A_granulata|evm.model.Super-Scaffold_100003.1895_1, A_granulata|evm.model.Super-Scaffold_100006.448_1, A_granulata|evm.model.Super-Scaffold_100006.1061_1, A_granulata|model.g1688.t1_1, A_granulata|evm.model.Super-Scaffold_100006.1260_1, A_granulata|evm.model.Super-Scaffold_100005.1219_1	P_fucata|Pma_10002083
OG0000007	A_granulata|model.g6273.t1_1, A_granulata|model.g6272.t1_1	P_fucata|Pma_10017847
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.707_1	P_fucata|Pma_10010607, P_fucata|Pma_532.177
