Orthogroup	A_granulata_2	B_glabrata_2
OG0000000	A_granulata|model.g24978.t1_1	B_glabrata|XP_013090931.1, B_glabrata|XP_013093167.1, B_glabrata|XP_013066259.1
OG0000003	A_granulata|model.g24762.t1_1	B_glabrata|XP_013061439.1
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.707_1	B_glabrata|XP_013075772.1
OG0000007	A_granulata|evm.model.Super-Scaffold_100009.926_1	B_glabrata|XP_013082066.1
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.411_1	B_glabrata|XP_013079326.1
OG0000007	A_granulata|model.g6275.t1_1	B_glabrata|XP_013085966.1, B_glabrata|XP_013073864.1
OG0000007	A_granulata|model.g13936.t1_1	B_glabrata|XP_013081957.1
OG0000007	A_granulata|model.g13938.t1_1	B_glabrata|XP_013082062.1
OG0000007	A_granulata|model.g5761.t1_1	B_glabrata|XP_013063618.1
OG0000007	A_granulata|evm.model.Super-Scaffold_100006.1323_1	B_glabrata|XP_013094229.1
OG0000009	A_granulata|evm.model.Super-Scaffold_100012.506_1	B_glabrata|XP_013076273.1
OG0000009	A_granulata|evm.model.Super-Scaffold_505.1121_1, A_granulata|evm.model.Super-Scaffold_100006.676_1, A_granulata|evm.model.Super-Scaffold_505.1606_1	B_glabrata|XP_013063303.1
OG0000009	A_granulata|model.g14108.t1_1	B_glabrata|XP_013082520.1
OG0000009	A_granulata|evm.model.Super-Scaffold_100006.1281_1, A_granulata|model.g14402.t1_1	B_glabrata|XP_013071348.1
OG0000011	A_granulata|model.g14860.t1_1	B_glabrata|XP_013083200.1
OG0000015	A_granulata|model.g11415.t1_1	B_glabrata|XP_013076970.1
OG0000015	A_granulata|evm.model.Super-Scaffold_100002.249_1	B_glabrata|XP_013077189.1
OG0000016	A_granulata|evm.model.Super-Scaffold_100019.314_1, A_granulata|model.g20194.t1_1, A_granulata|evm.model.Super-Scaffold_100016.112_1, A_granulata|model.g19855.t1_1, A_granulata|evm.model.Super-Scaffold_505.1528_1, A_granulata|model.g26165.t1_1, A_granulata|evm.model.Super-Scaffold_100005.476_1, A_granulata|evm.model.Super-Scaffold_100037.2_1, A_granulata|model.g8906.t1_1	B_glabrata|XP_013068640.1, B_glabrata|XP_013068639.1, B_glabrata|XP_013090968.1, B_glabrata|XP_013089408.1, B_glabrata|XP_013090966.1, B_glabrata|XP_013093196.1, B_glabrata|XP_013094005.1, B_glabrata|XP_013080962.1, B_glabrata|XP_013062374.1, B_glabrata|XP_013080662.1, B_glabrata|XP_013093671.1, B_glabrata|XP_013078245.1, B_glabrata|XP_013086582.1, B_glabrata|XP_013086580.1, B_glabrata|XP_013091907.1, B_glabrata|XP_013092990.1, B_glabrata|XP_013096412.1
OG0000017	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1	B_glabrata|XP_013083785.1
OG0000019	A_granulata|model.g7414.t1_1	B_glabrata|XP_013083944.1
OG0000019	A_granulata|model.g14035.t1_1	B_glabrata|XP_013072245.1
OG0000019	A_granulata|model.g11738.t1.5.5d3b86a4_1, A_granulata|model.g8205.t1_1	B_glabrata|XP_013063444.1
OG0000020	A_granulata|model.g11218.t1_1, A_granulata|model.g27971.t1_1, A_granulata|model.g12669.t1_1, A_granulata|model.g11836.t1_1	B_glabrata|XP_013063795.1
OG0000023	A_granulata|evm.model.Super-Scaffold_100002.117_1	B_glabrata|XP_013069100.1
OG0000024	A_granulata|evm.model.Super-Scaffold_100005.884_1	B_glabrata|XP_013079153.1
OG0000025	A_granulata|evm.model.Super-Scaffold_100008.679_1	B_glabrata|XP_013070418.1
OG0000026	A_granulata|evm.model.Super-Scaffold_100010.607_1	B_glabrata|XP_013085147.1
OG0000027	A_granulata|evm.model.Super-Scaffold_100013.373_1	B_glabrata|XP_013079423.1
OG0000028	A_granulata|evm.model.Super-Scaffold_100025.188_1	B_glabrata|XP_013064541.1
OG0000029	A_granulata|model.g2134.t1_1	B_glabrata|XP_013084231.1
OG0000030	A_granulata|model.g1298.t1_1	B_glabrata|XP_013088149.1
OG0000031	A_granulata|model.g100.t1_1	B_glabrata|XP_013061816.1
OG0000032	A_granulata|model.g501.t1_1	B_glabrata|XP_013081362.1
OG0000033	A_granulata|model.g1883.t1_1	B_glabrata|XP_013091381.1
OG0000034	A_granulata|model.g1662.t1_1	B_glabrata|XP_013078957.1
OG0000035	A_granulata|model.g3215.t1_1	B_glabrata|XP_013075562.1
OG0000036	A_granulata|model.g3997.t1_1	B_glabrata|XP_013064900.1
OG0000037	A_granulata|model.g4135.t1_1	B_glabrata|XP_013085046.1
OG0000038	A_granulata|model.g3909.t1_1	B_glabrata|XP_013077767.1
OG0000039	A_granulata|model.g5912.t1_1	B_glabrata|XP_013086056.1
OG0000040	A_granulata|model.g6072.t1_1	B_glabrata|XP_013079984.1
OG0000041	A_granulata|model.g8800.t1_1	B_glabrata|XP_013075181.1
OG0000042	A_granulata|model.g8671.t1_1	B_glabrata|XP_013068776.1
OG0000043	A_granulata|model.g9992.t1_1	B_glabrata|XP_013064636.1
OG0000044	A_granulata|model.g9597.t1_1	B_glabrata|XP_013096019.1
OG0000045	A_granulata|model.g11944.t1_1	B_glabrata|XP_013086308.1
OG0000046	A_granulata|model.g13152.t1_1	B_glabrata|XP_013066099.1
OG0000047	A_granulata|model.g15250.t1_1	B_glabrata|XP_013082575.1
OG0000048	A_granulata|model.g15596.t1_1	B_glabrata|XP_013086900.1
OG0000049	A_granulata|model.g17957.t1_1	B_glabrata|XP_013067132.1
OG0000050	A_granulata|model.g30402.t1_1	B_glabrata|XP_013095945.1
OG0000051	A_granulata|model.g29359.t1_1	B_glabrata|XP_013090147.1
OG0000052	A_granulata|model.g28777.t1_1	B_glabrata|XP_013088196.1
OG0000053	A_granulata|model.g29911.t1_1	B_glabrata|XP_013067251.1
OG0000054	A_granulata|model.g1284.t1.1.5d3b82d5_1	B_glabrata|XP_013065711.1
OG0000055	A_granulata|model.g2097.t1_1	B_glabrata|XP_013087945.1
OG0000056	A_granulata|model.g89.t1.1.5d3b81fd_1	B_glabrata|XP_013082149.1
OG0000057	A_granulata|model.g763.t1_model.g765.t1_1	B_glabrata|XP_013065610.1
OG0000058	A_granulata|model.g4291.t1_1	B_glabrata|XP_013076231.1
OG0000059	A_granulata|model.g6491.t1.1.5d3b8503_1	B_glabrata|XP_013083411.1
OG0000060	A_granulata|model.g7388.t1_1	B_glabrata|XP_013072764.1
OG0000061	A_granulata|model.g7604.t1.1.5d3b84b3_1	B_glabrata|XP_013096882.1
OG0000062	A_granulata|model.g8718.t1.1.5d3b85ae_1	B_glabrata|XP_013065247.1
OG0000063	A_granulata|model.g7299.t1_1	B_glabrata|XP_013084385.1
OG0000064	A_granulata|model.g13274.t1_1	B_glabrata|XP_013061978.1
OG0000065	A_granulata|model.g17523.t1_1	B_glabrata|XP_013084680.1
OG0000066	A_granulata|model.g17660.t1_1	B_glabrata|XP_013080185.1
OG0000067	A_granulata|model.g20823.t1_1	B_glabrata|XP_013070700.1
OG0000068	A_granulata|model.g29179.t1_1	B_glabrata|XP_013071542.1
OG0000069	A_granulata|model.g31682.t1_1	B_glabrata|XP_013063965.1
OG0000070	A_granulata|model.g32000.t1_1	B_glabrata|XP_013067166.1
