Orthogroup	H_robusta_2	S_constricta_2
OG0000000	H_robusta|ESO10944.1	S_constricta|evm.model.ctg599.11
OG0000003	H_robusta|ESO09122.1	S_constricta|evm.model.ctg805.3, S_constricta|evm.model.ctg189.102, S_constricta|evm.model.ctg1215.4, S_constricta|evm.model.ctg360.4, S_constricta|evm.model.ctg171.2, S_constricta|evm.model.ctg125.7, S_constricta|evm.model.ctg367.17, S_constricta|evm.model.ctg367.16, S_constricta|evm.model.ctg6522.1, S_constricta|evm.model.ctg377.32_evm.model.ctg377.31, S_constricta|evm.model.ctg377.30, S_constricta|evm.model.ctg1004.8, S_constricta|evm.model.ctg2331.1, S_constricta|evm.model.ctg55.55, S_constricta|evm.model.ctg2331.2, S_constricta|evm.model.ctg2230.1, S_constricta|evm.model.ctg101.5, S_constricta|evm.model.ctg416.3, S_constricta|evm.model.ctg88.8, S_constricta|evm.model.ctg642.12, S_constricta|evm.model.ctg401.21, S_constricta|evm.model.ctg859.5, S_constricta|evm.model.ctg1045.8, S_constricta|evm.model.ctg263.18, S_constricta|evm.model.ctg30.44, S_constricta|evm.model.ctg370.15, S_constricta|evm.model.ctg370.16.1, S_constricta|evm.model.ctg370.17.1, S_constricta|evm.model.ctg52.31, S_constricta|evm.model.ctg791.11, S_constricta|evm.model.ctg1599.1, S_constricta|evm.model.ctg791.12, S_constricta|evm.model.ctg3910.2, S_constricta|evm.model.ctg46.3, S_constricta|evm.model.ctg140.28, S_constricta|evm.model.ctg140.29, S_constricta|evm.model.ctg2046.12, S_constricta|evm.model.ctg5546.1, S_constricta|evm.model.ctg2046.11, S_constricta|evm.model.ctg2046.13, S_constricta|evm.model.ctg1840.1, S_constricta|evm.model.ctg140.26, S_constricta|evm.model.ctg2046.10, S_constricta|evm.model.ctg1771.1, S_constricta|evm.model.ctg1977.1, S_constricta|evm.model.ctg1708.1, S_constricta|evm.model.ctg1755.1, S_constricta|evm.model.ctg125.83, S_constricta|evm.model.ctg142.51.1, S_constricta|evm.model.ctg4263.1, S_constricta|evm.model.ctg1804.2
OG0000007	H_robusta|ESN93723.1	S_constricta|evm.model.ctg436.5
OG0000007	H_robusta|ESO04500.1	S_constricta|evm.model.ctg412.18
OG0000007	H_robusta|ESO09755.1	S_constricta|evm.model.ctg76.75, S_constricta|evm.model.ctg380.19
OG0000007	H_robusta|ESO05584.1	S_constricta|evm.model.ctg2181.2
OG0000007	H_robusta|ESN90265.1, H_robusta|ESO07168.1	S_constricta|evm.model.ctg412.15
OG0000007	H_robusta|ESO01742.1	S_constricta|evm.model.ctg306.3
OG0000007	H_robusta|ESN95559.1	S_constricta|evm.model.ctg306.4
OG0000007	H_robusta|ESN99512.1	S_constricta|evm.model.ctg562.15
OG0000007	H_robusta|ESO07165.1	S_constricta|evm.model.ctg436.1, S_constricta|evm.model.ctg436.4
OG0000009	H_robusta|ESN95234.1	S_constricta|evm.model.ctg1628.1, S_constricta|evm.model.ctg6192.1, S_constricta|evm.model.ctg1696.4
OG0000009	H_robusta|ESN95530.1, H_robusta|ESO00696.1	S_constricta|evm.model.ctg6778.1
OG0000009	H_robusta|ESO05234.1, H_robusta|ESN99757.1	S_constricta|evm.model.ctg923.6
OG0000009	H_robusta|ESO00154.1, H_robusta|ESO04934.1	S_constricta|evm.model.ctg1144.9
OG0000011	H_robusta|ESN93667.1	S_constricta|evm.model.ctg366.24
