Orthogroup	B_glabrata_2	P_fucata_2
OG0000000	B_glabrata|XP_013090931.1	P_fucata|Pma_10011348
OG0000003	B_glabrata|XP_013061439.1	P_fucata|Pma_424.232, P_fucata|Pma_10029971, P_fucata|Pma_10018092
OG0000004	B_glabrata|XP_013091058.1	P_fucata|Pma_10025331
OG0000004	B_glabrata|XP_013086610.1, B_glabrata|XP_013089298.1, B_glabrata|XP_013062440.1, B_glabrata|XP_013093169.1	P_fucata|Pma_10021546
OG0000007	B_glabrata|XP_013075772.1	P_fucata|Pma_10010607, P_fucata|Pma_532.177
OG0000007	B_glabrata|XP_013082066.1	P_fucata|Pma_10023862
OG0000007	B_glabrata|XP_013079326.1	P_fucata|Pma_10001157
OG0000007	B_glabrata|XP_013085966.1	P_fucata|Pma_10004348
OG0000007	B_glabrata|XP_013073864.1	P_fucata|Pma_10009355
OG0000007	B_glabrata|XP_013081957.1	P_fucata|Pma_10023863
OG0000007	B_glabrata|XP_013082062.1	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649
OG0000007	B_glabrata|XP_013063618.1	P_fucata|Pma_10016536
OG0000007	B_glabrata|XP_013094229.1	P_fucata|Pma_10032672, P_fucata|Pma_10027249
OG0000007	B_glabrata|XP_013086911.1, B_glabrata|XP_013093880.1	P_fucata|Pma_10008710
OG0000009	B_glabrata|XP_013076273.1	P_fucata|Pma_10032418
OG0000009	B_glabrata|XP_013074409.1	P_fucata|Pma_10025848, P_fucata|Pma_10012721
OG0000009	B_glabrata|XP_013080003.1, B_glabrata|XP_013094576.1, B_glabrata|XP_013063268.1	P_fucata|Pma_10011588
OG0000009	B_glabrata|XP_013064161.1, B_glabrata|XP_013093678.1, B_glabrata|XP_013091514.1	P_fucata|Pma_10020874
OG0000009	B_glabrata|XP_013063303.1	P_fucata|Pma_10012832
OG0000009	B_glabrata|XP_013071348.1	P_fucata|Pma_325.96
OG0000011	B_glabrata|XP_013083200.1	P_fucata|Pma_10023646
OG0000011	B_glabrata|XP_013092586.1	P_fucata|Pma_10011539
OG0000015	B_glabrata|XP_013076722.1, B_glabrata|XP_013090484.1	P_fucata|Pma_10001006
OG0000016	B_glabrata|XP_013068640.1, B_glabrata|XP_013068639.1, B_glabrata|XP_013090968.1, B_glabrata|XP_013089408.1, B_glabrata|XP_013090966.1, B_glabrata|XP_013093196.1, B_glabrata|XP_013094005.1, B_glabrata|XP_013080962.1, B_glabrata|XP_013062374.1, B_glabrata|XP_013080662.1, B_glabrata|XP_013093671.1, B_glabrata|XP_013078245.1, B_glabrata|XP_013086582.1, B_glabrata|XP_013086580.1, B_glabrata|XP_013091907.1, B_glabrata|XP_013092990.1, B_glabrata|XP_013096412.1	P_fucata|Pma_10027671
OG0000017	B_glabrata|XP_013083785.1	P_fucata|Pma_10029257, P_fucata|Pma_10029259, P_fucata|Pma_10024934
OG0000017	B_glabrata|XP_013078946.1, B_glabrata|XP_013065892.1, B_glabrata|XP_013065863.1, B_glabrata|XP_013079385.1, B_glabrata|XP_013079394.1, B_glabrata|XP_013077200.1, B_glabrata|XP_013062035.1, B_glabrata|XP_013065895.1, B_glabrata|XP_013062034.1, B_glabrata|XP_013077202.1, B_glabrata|XP_013065857.1, B_glabrata|XP_013065893.1, B_glabrata|XP_013080598.1, B_glabrata|XP_013080599.1, B_glabrata|XP_013093165.1	P_fucata|Pma_10029261, P_fucata|Pma_10003264, P_fucata|Pma_10029262, P_fucata|Pma_10021622, P_fucata|Pma_10031907, P_fucata|Pma_10005159, P_fucata|Pma_10016044, P_fucata|Pma_10016367, P_fucata|Pma_10023166
OG0000019	B_glabrata|XP_013083944.1	P_fucata|Pma_10027659
OG0000019	B_glabrata|XP_013072245.1	P_fucata|Pma_10025141
OG0000019	B_glabrata|XP_013063444.1	P_fucata|Pma_10023026, P_fucata|Pma_10013841, P_fucata|Pma_10003080
