Orthogroup	B_glabrata_2	H_robusta_2
OG0000003	B_glabrata|XP_013061439.1	H_robusta|ESO09122.1
OG0000005	B_glabrata|XP_013072793.1, B_glabrata|XP_013072794.1, B_glabrata|XP_013089577.1, B_glabrata|XP_013077191.1, B_glabrata|XP_013061378.1, B_glabrata|XP_013080113.1, B_glabrata|XP_013075511.1, B_glabrata|XP_013096443.1, B_glabrata|XP_013083331.1, B_glabrata|XP_013092206.1, B_glabrata|XP_013082780.1, B_glabrata|XP_013088661.1, B_glabrata|XP_013088025.1, B_glabrata|XP_013061765.1, B_glabrata|XP_013086084.1, B_glabrata|XP_013081961.1, B_glabrata|XP_013075681.1, B_glabrata|XP_013081962.1, B_glabrata|XP_013081963.1, B_glabrata|XP_013081965.1, B_glabrata|XP_013089173.1, B_glabrata|XP_013093286.1, B_glabrata|XP_013082945.1, B_glabrata|XP_013094513.1, B_glabrata|XP_013092334.1, B_glabrata|XP_013092332.1, B_glabrata|XP_013094255.1, B_glabrata|XP_013066380.1, B_glabrata|XP_013066356.1, B_glabrata|XP_013082453.1, B_glabrata|XP_013083094.1, B_glabrata|XP_013082529.1, B_glabrata|XP_013082539.1, B_glabrata|XP_013076119.1, B_glabrata|XP_013077360.1, B_glabrata|XP_013080600.1, B_glabrata|XP_013081547.1, B_glabrata|XP_013076118.1, B_glabrata|XP_013089599.1, B_glabrata|XP_013089597.1, B_glabrata|XP_013090871.1, B_glabrata|XP_013084274.1, B_glabrata|XP_013077835.1, B_glabrata|XP_013077843.1, B_glabrata|XP_013063815.1, B_glabrata|XP_013073839.1, B_glabrata|XP_013076040.1, B_glabrata|XP_013089007.1, B_glabrata|XP_013064133.1, B_glabrata|XP_013090255.1, B_glabrata|XP_013073022.1, B_glabrata|XP_013090256.1, B_glabrata|XP_013090263.1, B_glabrata|XP_013090264.1, B_glabrata|XP_013090257.1, B_glabrata|XP_013093212.1, B_glabrata|XP_013079825.1, B_glabrata|XP_013079826.1, B_glabrata|XP_013087274.1, B_glabrata|XP_013079939.1, B_glabrata|XP_013079824.1, B_glabrata|XP_013079821.1, B_glabrata|XP_013090258.1, B_glabrata|XP_013092710.1, B_glabrata|XP_013090262.1, B_glabrata|XP_013090259.1, B_glabrata|XP_013090260.1, B_glabrata|XP_013079822.1, B_glabrata|XP_013079823.1, B_glabrata|XP_013093829.1, B_glabrata|XP_013073621.1, B_glabrata|XP_013076820.1, B_glabrata|XP_013064687.1, B_glabrata|XP_013085673.1, B_glabrata|XP_013092714.1, B_glabrata|XP_013063792.1, B_glabrata|XP_013095252.1, B_glabrata|XP_013093447.1, B_glabrata|XP_013095637.1, B_glabrata|XP_013095635.1, B_glabrata|XP_013081639.1, B_glabrata|XP_013095633.1, B_glabrata|XP_013095639.1, B_glabrata|XP_013062259.1, B_glabrata|XP_013074238.1, B_glabrata|XP_013073127.1, B_glabrata|XP_013070931.1, B_glabrata|XP_013088875.1, B_glabrata|XP_013085672.1, B_glabrata|XP_013083470.1, B_glabrata|XP_013095634.1, B_glabrata|XP_013085869.1, B_glabrata|XP_013090038.1, B_glabrata|XP_013065601.1, B_glabrata|XP_013093534.1, B_glabrata|XP_013065598.1, B_glabrata|XP_013065599.1, B_glabrata|XP_013065602.1, B_glabrata|XP_013065603.1, B_glabrata|XP_013091977.1, B_glabrata|XP_013093140.1, B_glabrata|XP_013076976.1, B_glabrata|XP_013093930.1, B_glabrata|XP_013076977.1, B_glabrata|XP_013071039.1, B_glabrata|XP_013076490.1, B_glabrata|XP_013095830.1, B_glabrata|XP_013071040.1, B_glabrata|XP_013093295.1, B_glabrata|XP_013096201.1, B_glabrata|XP_013091101.1, B_glabrata|XP_013070912.1, B_glabrata|XP_013070941.1, B_glabrata|XP_013092831.1, B_glabrata|XP_013089113.1, B_glabrata|XP_013096743.1, B_glabrata|XP_013088913.1, B_glabrata|XP_013088915.1, B_glabrata|XP_013078205.1, B_glabrata|XP_013088914.1, B_glabrata|XP_013060752.1, B_glabrata|XP_013060753.1, B_glabrata|XP_013083635.1, B_glabrata|XP_013060751.1, B_glabrata|XP_013072938.1, B_glabrata|XP_013067980.1, B_glabrata|XP_013083115.1, B_glabrata|XP_013079575.1, B_glabrata|XP_013095595.1, B_glabrata|XP_013060748.1, B_glabrata|XP_013060750.1, B_glabrata|XP_013092510.1, B_glabrata|XP_013060749.1, B_glabrata|XP_013068911.1, B_glabrata|XP_013068912.1, B_glabrata|XP_013096365.1, B_glabrata|XP_013068910.1, B_glabrata|XP_013068909.1, B_glabrata|XP_013068923.1, B_glabrata|XP_013065689.1, B_glabrata|XP_013089696.1, B_glabrata|XP_013089697.1, B_glabrata|XP_013075900.1, B_glabrata|XP_013066216.1, B_glabrata|XP_013075477.1, B_glabrata|XP_013093186.1, B_glabrata|XP_013078857.1, B_glabrata|XP_013064834.1, B_glabrata|XP_013083285.1, B_glabrata|XP_013070490.1, B_glabrata|XP_013094572.1, B_glabrata|XP_013096891.1, B_glabrata|XP_013076081.1, B_glabrata|XP_013080139.1, B_glabrata|XP_013077931.1, B_glabrata|XP_013072739.1, B_glabrata|XP_013065800.1	H_robusta|ESN91818.1
OG0000007	B_glabrata|XP_013075772.1	H_robusta|ESO04500.1
OG0000007	B_glabrata|XP_013082066.1	H_robusta|ESO04949.1
OG0000007	B_glabrata|XP_013090876.1, B_glabrata|XP_013079326.1	H_robusta|ESO09755.1
OG0000007	B_glabrata|XP_013081957.1	H_robusta|ESO01742.1
OG0000007	B_glabrata|XP_013082062.1	H_robusta|ESN95559.1
OG0000007	B_glabrata|XP_013063618.1	H_robusta|ESO01497.1
OG0000007	B_glabrata|XP_013094229.1	H_robusta|ESN90430.1, H_robusta|ESN99512.1
OG0000007	B_glabrata|XP_013086911.1, B_glabrata|XP_013093880.1	H_robusta|ESO07165.1
OG0000009	B_glabrata|XP_013076273.1	H_robusta|ESO12556.1
OG0000009	B_glabrata|XP_013080003.1, B_glabrata|XP_013094576.1, B_glabrata|XP_013063268.1, B_glabrata|XP_013062473.1	H_robusta|ESN95234.1
OG0000009	B_glabrata|XP_013063303.1	H_robusta|ESO05234.1, H_robusta|ESN99757.1
OG0000009	B_glabrata|XP_013082520.1	H_robusta|ESO00154.1, H_robusta|ESO04934.1
OG0000009	B_glabrata|XP_013071348.1	H_robusta|ESO05551.1, H_robusta|ESO05549.1, H_robusta|ESO05547.1, H_robusta|ESO05561.1, H_robusta|ESO05580.1, H_robusta|ESO05560.1, H_robusta|ESO05555.1, H_robusta|ESO05548.1, H_robusta|ESN96742.1, H_robusta|ESN96743.1, H_robusta|ESO05658.1, H_robusta|ESO05557.1, H_robusta|ESO05562.1, H_robusta|ESO05579.1, H_robusta|ESO05553.1, H_robusta|ESO05565.1, H_robusta|ESN90439.1, H_robusta|ESN93770.1
OG0000011	B_glabrata|XP_013083200.1	H_robusta|ESN93667.1
OG0000011	B_glabrata|XP_013092586.1	H_robusta|ESO04681.1
OG0000015	B_glabrata|XP_013076970.1	H_robusta|ESN91326.1
OG0000015	B_glabrata|XP_013076722.1, B_glabrata|XP_013090484.1	H_robusta|ESO05631.1
OG0000015	B_glabrata|XP_013077189.1	H_robusta|ESN90293.1
OG0000016	B_glabrata|XP_013068640.1, B_glabrata|XP_013068639.1, B_glabrata|XP_013090968.1, B_glabrata|XP_013089408.1, B_glabrata|XP_013090966.1, B_glabrata|XP_013093196.1, B_glabrata|XP_013094005.1, B_glabrata|XP_013080962.1, B_glabrata|XP_013062374.1, B_glabrata|XP_013080662.1, B_glabrata|XP_013093671.1, B_glabrata|XP_013078245.1, B_glabrata|XP_013086582.1, B_glabrata|XP_013086580.1, B_glabrata|XP_013091907.1, B_glabrata|XP_013092990.1, B_glabrata|XP_013096412.1	H_robusta|ESO12711.1, H_robusta|ESO12860.1
OG0000017	B_glabrata|XP_013083785.1	H_robusta|ESO10253.1
OG0000019	B_glabrata|XP_013085161.1	H_robusta|ESO05380.1
OG0000019	B_glabrata|XP_013072245.1, B_glabrata|XP_013063444.1	H_robusta|ESO09462.1
OG0000023	B_glabrata|XP_013069100.1	H_robusta|ESO00598.1
OG0000024	B_glabrata|XP_013079153.1	H_robusta|ESN91305.1
OG0000025	B_glabrata|XP_013070418.1	H_robusta|ESN91955.1
