Orthogroup	L_gigantea_2	S_constricta_2
OG0000000	L_gigantea|XP_009065493.1	S_constricta|evm.model.ctg125.4
OG0000000	L_gigantea|XP_009045323.1	S_constricta|evm.model.ctg227.23
OG0000003	L_gigantea|XP_009058591.1, L_gigantea|XP_009057653.1	S_constricta|evm.model.ctg377.32_evm.model.ctg377.31, S_constricta|evm.model.ctg377.30, S_constricta|evm.model.ctg1004.8, S_constricta|evm.model.ctg2331.1, S_constricta|evm.model.ctg55.55, S_constricta|evm.model.ctg2331.2, S_constricta|evm.model.ctg2230.1, S_constricta|evm.model.ctg101.5, S_constricta|evm.model.ctg416.3
OG0000003	L_gigantea|XP_009059572.1, L_gigantea|XP_009053437.1, L_gigantea|XP_009059573.1, L_gigantea|XP_009053435.1, L_gigantea|XP_009053436.1	S_constricta|evm.model.ctg642.12, S_constricta|evm.model.ctg401.21, S_constricta|evm.model.ctg859.5, S_constricta|evm.model.ctg1045.8
OG0000003	L_gigantea|XP_009061854.1	S_constricta|evm.model.ctg370.15, S_constricta|evm.model.ctg370.16.1, S_constricta|evm.model.ctg370.17.1, S_constricta|evm.model.ctg52.31, S_constricta|evm.model.ctg791.11, S_constricta|evm.model.ctg1599.1, S_constricta|evm.model.ctg791.12, S_constricta|evm.model.ctg3910.2, S_constricta|evm.model.ctg46.3, S_constricta|evm.model.ctg140.28, S_constricta|evm.model.ctg140.29, S_constricta|evm.model.ctg2046.12, S_constricta|evm.model.ctg5546.1, S_constricta|evm.model.ctg2046.11, S_constricta|evm.model.ctg2046.13, S_constricta|evm.model.ctg1840.1, S_constricta|evm.model.ctg140.26, S_constricta|evm.model.ctg2046.10, S_constricta|evm.model.ctg1771.1, S_constricta|evm.model.ctg1977.1, S_constricta|evm.model.ctg1708.1, S_constricta|evm.model.ctg1755.1, S_constricta|evm.model.ctg125.83, S_constricta|evm.model.ctg142.51.1, S_constricta|evm.model.ctg4263.1, S_constricta|evm.model.ctg1804.2
OG0000007	L_gigantea|XP_009046443.1, L_gigantea|XP_009046442.1	S_constricta|evm.model.ctg436.5
OG0000007	L_gigantea|XP_009046440.1	S_constricta|evm.model.ctg412.18
OG0000007	L_gigantea|XP_009063633.1	S_constricta|evm.model.ctg2181.2
OG0000007	L_gigantea|XP_009046437.1	S_constricta|evm.model.ctg412.15
OG0000007	L_gigantea|XP_009046446.1	S_constricta|evm.model.ctg436.7
OG0000007	L_gigantea|XP_009065435.1	S_constricta|evm.model.ctg306.3
OG0000007	L_gigantea|XP_009046439.1	S_constricta|evm.model.ctg412.17
OG0000007	L_gigantea|XP_009065436.1	S_constricta|evm.model.ctg306.4
OG0000007	L_gigantea|XP_009065931.1, L_gigantea|XP_009065930.1	S_constricta|evm.model.ctg562.15
OG0000007	L_gigantea|XP_009046445.1	S_constricta|evm.model.ctg436.1
OG0000007	L_gigantea|XP_009046444.1	S_constricta|evm.model.ctg436.4
OG0000009	L_gigantea|XP_009055766.1, L_gigantea|XP_009064105.1	S_constricta|evm.model.ctg76.11
OG0000009	L_gigantea|XP_009051792.1	S_constricta|evm.model.ctg67.88
OG0000009	L_gigantea|XP_009046723.1, L_gigantea|XP_009058115.1	S_constricta|evm.model.ctg1628.1, S_constricta|evm.model.ctg6192.1, S_constricta|evm.model.ctg1696.4
OG0000009	L_gigantea|XP_009044627.1	S_constricta|evm.model.ctg138.15, S_constricta|evm.model.ctg885.2
OG0000009	L_gigantea|XP_009053527.1	S_constricta|evm.model.ctg923.6
OG0000009	L_gigantea|XP_009053915.1	S_constricta|evm.model.ctg1144.9
OG0000011	L_gigantea|XP_009053022.1	S_constricta|evm.model.ctg366.24
OG0000011	L_gigantea|XP_009044047.1	S_constricta|evm.model.ctg2170.1, S_constricta|evm.model.ctg5056.2, S_constricta|evm.model.ctg3433.3, S_constricta|evm.model.ctg1905.2, S_constricta|evm.model.ctg4448.1_evm.model.ctg4448.2, S_constricta|evm.model.ctg1905.3, S_constricta|evm.model.ctg2506.2.1, S_constricta|evm.model.ctg5056.1, S_constricta|evm.model.ctg2935.4, S_constricta|evm.model.ctg3898.1, S_constricta|evm.model.ctg2170.3, S_constricta|evm.model.ctg1414.7, S_constricta|evm.model.ctg3433.1, S_constricta|evm.model.ctg3898.2, S_constricta|evm.model.ctg3433.2, S_constricta|evm.model.ctg2935.1, S_constricta|evm.model.ctg2170.2, S_constricta|evm.model.ctg1173.9, S_constricta|evm.model.ctg2716.1, S_constricta|evm.model.ctg1173.10, S_constricta|evm.model.ctg1173.2, S_constricta|evm.model.ctg1173.1, S_constricta|evm.model.ctg1173.7, S_constricta|evm.model.ctg2947.1, S_constricta|evm.model.ctg1525.1, S_constricta|evm.model.ctg1611.4, S_constricta|evm.model.ctg1892.1, S_constricta|evm.model.ctg1611.6, S_constricta|evm.model.ctg1611.3, S_constricta|evm.model.ctg1173.6, S_constricta|evm.model.ctg1611.1, S_constricta|evm.model.ctg1189.1, S_constricta|evm.model.ctg2250.1, S_constricta|evm.model.ctg3234.3, S_constricta|evm.model.ctg3234.4, S_constricta|evm.model.ctg1611.5, S_constricta|evm.model.ctg1173.8, S_constricta|evm.model.ctg2947.2
OG0000015	L_gigantea|XP_009049765.1	S_constricta|evm.model.ctg6408.1, S_constricta|evm.model.ctg109.15
OG0000015	L_gigantea|XP_009052518.1	S_constricta|evm.model.ctg528.30
OG0000016	L_gigantea|XP_009066031.1	S_constricta|evm.model.ctg496.5, S_constricta|evm.model.ctg6.81, S_constricta|evm.model.ctg174.7
OG0000017	L_gigantea|XP_009061494.1	S_constricta|evm.model.ctg747.5, S_constricta|evm.model.ctg747.4, S_constricta|evm.model.ctg225.33, S_constricta|evm.model.ctg337.18, S_constricta|evm.model.ctg489.2, S_constricta|evm.model.ctg325.3, S_constricta|evm.model.ctg3125.1, S_constricta|evm.model.ctg416.42
OG0000019	L_gigantea|XP_009050388.1	S_constricta|evm.model.ctg23.32
OG0000019	L_gigantea|XP_009059734.1	S_constricta|evm.model.ctg9.1, S_constricta|evm.model.ctg128.7
OG0000019	L_gigantea|XP_009062371.1	S_constricta|evm.model.ctg859.12
OG0000019	L_gigantea|XP_009054782.1	S_constricta|evm.model.ctg139.17
OG0000019	L_gigantea|XP_009053791.1	S_constricta|evm.model.ctg117.11
OG0000019	L_gigantea|XP_009057899.1	S_constricta|evm.model.ctg510.19
OG0000019	L_gigantea|XP_009063508.1	S_constricta|evm.model.ctg274.25
OG0000019	L_gigantea|XP_009056958.1	S_constricta|evm.model.ctg84.12
OG0000019	L_gigantea|XP_009047890.1	S_constricta|evm.model.ctg131.23, S_constricta|evm.model.ctg131.22
OG0000020	L_gigantea|XP_009046332.1, L_gigantea|XP_009046334.1, L_gigantea|XP_009046333.1	S_constricta|evm.model.ctg3.92, S_constricta|evm.model.ctg1086.13, S_constricta|evm.model.ctg1086.12, S_constricta|evm.model.ctg1086.11, S_constricta|evm.model.ctg1086.9, S_constricta|evm.model.ctg2779.2, S_constricta|evm.model.ctg6487.1, S_constricta|evm.model.ctg1723.2, S_constricta|evm.model.ctg727.2, S_constricta|evm.model.ctg727.4, S_constricta|evm.model.ctg5497.1, S_constricta|evm.model.ctg727.3, S_constricta|evm.model.ctg28.4, S_constricta|evm.model.ctg189.107
OG0000021	L_gigantea|XP_009045657.1, L_gigantea|XP_009053740.1	S_constricta|evm.model.ctg1671.1, S_constricta|evm.model.ctg3068.1
OG0000023	L_gigantea|XP_009044903.1	S_constricta|evm.model.ctg238.53
OG0000024	L_gigantea|XP_009056746.1	S_constricta|evm.model.ctg14.39
OG0000025	L_gigantea|XP_009048639.1	S_constricta|evm.model.ctg97.43
OG0000026	L_gigantea|XP_009051788.1	S_constricta|evm.model.ctg1004.16
OG0000027	L_gigantea|XP_009058327.1	S_constricta|evm.model.ctg660.7
OG0000028	L_gigantea|XP_009050366.1	S_constricta|evm.model.ctg930.2
OG0000029	L_gigantea|XP_009051479.1	S_constricta|evm.model.ctg492.4
OG0000030	L_gigantea|XP_009051490.1	S_constricta|evm.model.ctg40.49
OG0000031	L_gigantea|XP_009055442.1	S_constricta|evm.model.ctg142.10
OG0000032	L_gigantea|XP_009048498.1	S_constricta|evm.model.ctg145.40
OG0000033	L_gigantea|XP_009056300.1	S_constricta|evm.model.ctg647.9
OG0000034	L_gigantea|XP_009054295.1	S_constricta|evm.model.ctg613.8
OG0000035	L_gigantea|XP_009063552.1	S_constricta|evm.model.ctg392.9
OG0000036	L_gigantea|XP_009048015.1	S_constricta|evm.model.ctg96.20
OG0000037	L_gigantea|XP_009045422.1	S_constricta|evm.model.ctg533.29
OG0000038	L_gigantea|XP_009067307.1	S_constricta|evm.model.ctg1402.5
