Orthogroup	O_bimaculoides_2	H_robusta_2
OG0000000	O_bimaculoides|XP_014771511.1	H_robusta|ESO10944.1
OG0000007	O_bimaculoides|XP_014776564.1	H_robusta|ESO13175.1
OG0000007	O_bimaculoides|XP_014780359.1	H_robusta|ESO09755.1
OG0000007	O_bimaculoides|XP_014789021.1	H_robusta|ESN90265.1, H_robusta|ESO07168.1
OG0000007	O_bimaculoides|XP_014780502.1	H_robusta|ESO01742.1
OG0000007	O_bimaculoides|XP_014769873.1	H_robusta|ESN95559.1
OG0000007	O_bimaculoides|XP_014767862.1	H_robusta|ESO01497.1
OG0000007	O_bimaculoides|XP_014781016.1	H_robusta|ESO07165.1
OG0000009	O_bimaculoides|XP_014778038.1	H_robusta|ESN91984.1
OG0000009	O_bimaculoides|XP_014769217.1	H_robusta|ESO12556.1
OG0000009	O_bimaculoides|XP_014768316.1	H_robusta|ESN95234.1
OG0000009	O_bimaculoides|XP_014768598.1, O_bimaculoides|XP_014771819.1	H_robusta|ESN90439.1, H_robusta|ESN93770.1
OG0000011	O_bimaculoides|XP_014785327.1	H_robusta|ESN93667.1
OG0000015	O_bimaculoides|XP_014774750.1	H_robusta|ESN91326.1
OG0000015	O_bimaculoides|XP_014789051.1	H_robusta|ESN90293.1
OG0000016	O_bimaculoides|XP_014774772.1	H_robusta|ESO12711.1, H_robusta|ESO12860.1
OG0000017	O_bimaculoides|XP_014773512.1, O_bimaculoides|XP_014783213.1, O_bimaculoides|XP_014788111.1, O_bimaculoides|XP_014790640.1, O_bimaculoides|XP_014790641.1, O_bimaculoides|XP_014787378.1, O_bimaculoides|XP_014790639.1, O_bimaculoides|XP_014768533.1	H_robusta|ESO10253.1
OG0000019	O_bimaculoides|XP_014773657.1	H_robusta|ESO05380.1
OG0000019	O_bimaculoides|XP_014772300.1, O_bimaculoides|XP_014780698.1	H_robusta|ESO09462.1
OG0000023	O_bimaculoides|XP_014787445.1	H_robusta|ESO00598.1
OG0000024	O_bimaculoides|XP_014778891.1	H_robusta|ESN91305.1
OG0000025	O_bimaculoides|XP_014789699.1	H_robusta|ESN91955.1
OG0000026	O_bimaculoides|XP_014789426.1	H_robusta|ESN95294.1
OG0000027	O_bimaculoides|XP_014788131.1	H_robusta|ESO08179.1
OG0000028	O_bimaculoides|XP_014790475.1	H_robusta|ESO08129.1
OG0000029	O_bimaculoides|XP_014772627.1	H_robusta|ESO13052.1
OG0000030	O_bimaculoides|XP_014784674.1	H_robusta|ESO09280.1
OG0000031	O_bimaculoides|XP_014787618.1	H_robusta|ESO09736.1
OG0000032	O_bimaculoides|XP_014773878.1	H_robusta|ESO02199.1
OG0000033	O_bimaculoides|XP_014769418.1	H_robusta|ESN90052.1
OG0000034	O_bimaculoides|XP_014777276.1	H_robusta|ESN90476.1
OG0000035	O_bimaculoides|XP_014772225.1	H_robusta|ESO10634.1
OG0000036	O_bimaculoides|XP_014776166.1	H_robusta|ESO10298.1
OG0000037	O_bimaculoides|XP_014785114.1	H_robusta|ESN95204.1
OG0000038	O_bimaculoides|XP_014773522.1	H_robusta|ESO05119.1
OG0000039	O_bimaculoides|XP_014772348.1	H_robusta|ESN96911.1
OG0000040	O_bimaculoides|XP_014788148.1	H_robusta|ESO01626.1
OG0000041	O_bimaculoides|XP_014773542.1	H_robusta|ESO00575.1
OG0000042	O_bimaculoides|XP_014775340.1	H_robusta|ESN96167.1
OG0000043	O_bimaculoides|XP_014783376.1	H_robusta|ESO04933.1
OG0000044	O_bimaculoides|XP_014767759.1	H_robusta|ESO00697.1
OG0000045	O_bimaculoides|XP_014774176.1	H_robusta|ESN99635.1
OG0000046	O_bimaculoides|XP_014772041.1	H_robusta|ESO10083.1
OG0000047	O_bimaculoides|XP_014770126.1	H_robusta|ESN91550.1
OG0000048	O_bimaculoides|XP_014783673.1	H_robusta|ESO13187.1
OG0000049	O_bimaculoides|XP_014790578.1	H_robusta|ESN98754.1
OG0000050	O_bimaculoides|XP_014773139.1	H_robusta|ESO00076.1
OG0000051	O_bimaculoides|XP_014776868.1	H_robusta|ESN99728.1
OG0000052	O_bimaculoides|XP_014790391.1	H_robusta|ESN98670.1
OG0000053	O_bimaculoides|XP_014778145.1	H_robusta|ESO03583.1
OG0000054	O_bimaculoides|XP_014779552.1	H_robusta|ESO10888.1
OG0000055	O_bimaculoides|XP_014775648.1	H_robusta|ESN91162.1
OG0000056	O_bimaculoides|XP_014783300.1	H_robusta|ESO08731.1
OG0000057	O_bimaculoides|XP_014774168.1	H_robusta|ESO06944.1
OG0000058	O_bimaculoides|XP_014785555.1	H_robusta|ESO09558.1
OG0000059	O_bimaculoides|XP_014789933.1	H_robusta|ESN94151.1
OG0000060	O_bimaculoides|XP_014776694.1	H_robusta|ESN99626.1
OG0000061	O_bimaculoides|XP_014790210.1	H_robusta|ESO02346.1
OG0000062	O_bimaculoides|XP_014772987.1	H_robusta|ESN92353.1
OG0000063	O_bimaculoides|XP_014776218.1	H_robusta|ESN90952.1
OG0000064	O_bimaculoides|XP_014783678.1	H_robusta|ESN94328.1
OG0000065	O_bimaculoides|XP_014772273.1	H_robusta|ESO10101.1
OG0000066	O_bimaculoides|XP_014778623.1	H_robusta|ESO01061.1
OG0000067	O_bimaculoides|XP_014771836.1	H_robusta|ESN96928.1
OG0000068	O_bimaculoides|XP_014789121.1	H_robusta|ESN99588.1
OG0000069	O_bimaculoides|XP_014772840.1	H_robusta|ESO02510.1
OG0000070	O_bimaculoides|XP_014789614.1	H_robusta|ESO13213.1
