Orthogroup	L_gigantea_2	P_fucata_2
OG0000003	L_gigantea|XP_009058591.1, L_gigantea|XP_009057653.1	P_fucata|Pma_10012388, P_fucata|Pma_10024689, P_fucata|Pma_10024688
OG0000003	L_gigantea|XP_009059572.1, L_gigantea|XP_009053437.1, L_gigantea|XP_009059573.1, L_gigantea|XP_009053435.1, L_gigantea|XP_009053436.1	P_fucata|Pma_10.1359
OG0000003	L_gigantea|XP_009061854.1	P_fucata|Pma_10026479, P_fucata|Pma_10018317
OG0000004	L_gigantea|XP_009061714.1, L_gigantea|XP_009061776.1, L_gigantea|XP_009061781.1	P_fucata|Pma_10021546
OG0000007	L_gigantea|XP_009046443.1, L_gigantea|XP_009046442.1	P_fucata|Pma_10017847
OG0000007	L_gigantea|XP_009046440.1	P_fucata|Pma_10010607, P_fucata|Pma_532.177
OG0000007	L_gigantea|XP_009046446.1	P_fucata|Pma_10009355
OG0000007	L_gigantea|XP_009065435.1	P_fucata|Pma_10023863
OG0000007	L_gigantea|XP_009046439.1	P_fucata|Pma_10030419
OG0000007	L_gigantea|XP_009046438.1	P_fucata|Pma_10006875, P_fucata|Pma_207.322
OG0000007	L_gigantea|XP_009065436.1	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649
OG0000007	L_gigantea|XP_009046479.1	P_fucata|Pma_10016536
OG0000007	L_gigantea|XP_009065931.1, L_gigantea|XP_009065930.1	P_fucata|Pma_10027249
OG0000007	L_gigantea|XP_009046441.1	P_fucata|Pma_10017849
OG0000007	L_gigantea|XP_009046445.1	P_fucata|Pma_10008710
OG0000009	L_gigantea|XP_009044518.1	P_fucata|Pma_10032418
OG0000009	L_gigantea|XP_009055766.1, L_gigantea|XP_009064105.1	P_fucata|Pma_10006517
OG0000009	L_gigantea|XP_009051792.1	P_fucata|Pma_10025848, P_fucata|Pma_10012721
OG0000009	L_gigantea|XP_009046723.1, L_gigantea|XP_009058115.1	P_fucata|Pma_10011588
OG0000009	L_gigantea|XP_009044627.1	P_fucata|Pma_10021751
OG0000009	L_gigantea|XP_009057810.1	P_fucata|Pma_10028191
OG0000009	L_gigantea|XP_009053527.1	P_fucata|Pma_10012832
OG0000011	L_gigantea|XP_009053022.1	P_fucata|Pma_10023646
OG0000015	L_gigantea|XP_009049765.1	P_fucata|Pma_10020663
OG0000016	L_gigantea|XP_009066031.1	P_fucata|Pma_10013077, P_fucata|Pma_10013078, P_fucata|Pma_10021023, P_fucata|Pma_10013072, P_fucata|Pma_10017238, P_fucata|Pma_10013074, P_fucata|Pma_2.319, P_fucata|Pma_10002971, P_fucata|Pma_10026311, P_fucata|Pma_10019994, P_fucata|Pma_10020228, P_fucata|Pma_10026308, P_fucata|Pma_10017082, P_fucata|Pma_10010486, P_fucata|Pma_10005410, P_fucata|Pma_10026304, P_fucata|Pma_10026305, P_fucata|Pma_10026309, P_fucata|Pma_10002972, P_fucata|Pma_10027671
OG0000017	L_gigantea|XP_009054246.1	P_fucata|Pma_10029257, P_fucata|Pma_10029259, P_fucata|Pma_10024934
OG0000017	L_gigantea|XP_009061494.1	P_fucata|Pma_10029261, P_fucata|Pma_10003264, P_fucata|Pma_10029262, P_fucata|Pma_10021622, P_fucata|Pma_10031907, P_fucata|Pma_10005159, P_fucata|Pma_10016044, P_fucata|Pma_10016367, P_fucata|Pma_10023166
OG0000018	L_gigantea|XP_009055411.1	P_fucata|Pma_10018321, P_fucata|Pma_10016081, P_fucata|Pma_10027321, P_fucata|Pma_10011065, P_fucata|Pma_10013599, P_fucata|Pma_10021855, P_fucata|Pma_10022476, P_fucata|Pma_10020684, P_fucata|Pma_10026948, P_fucata|Pma_10028434, P_fucata|Pma_10021692, P_fucata|Pma_10001184, P_fucata|Pma_10018175, P_fucata|Pma_10030542, P_fucata|Pma_10023239, P_fucata|Pma_10020252, P_fucata|Pma_10025744, P_fucata|Pma_10002367, P_fucata|Pma_10013560, P_fucata|Pma_10010736, P_fucata|Pma_10007429, P_fucata|Pma_10000702, P_fucata|Pma_10029440, P_fucata|Pma_10011394, P_fucata|Pma_10023184, P_fucata|Pma_10006442, P_fucata|Pma_10022327, P_fucata|Pma_10023372, P_fucata|Pma_10020542, P_fucata|Pma_10023966, P_fucata|Pma_10030882, P_fucata|Pma_10004726, P_fucata|Pma_10013561, P_fucata|Pma_10009009, P_fucata|Pma_10002677, P_fucata|Pma_10010284, P_fucata|Pma_10013403, P_fucata|Pma_10006138, P_fucata|Pma_10005768, P_fucata|Pma_10030764, P_fucata|Pma_10021806, P_fucata|Pma_10016667, P_fucata|Pma_10007024, P_fucata|Pma_10004474, P_fucata|Pma_10008755, P_fucata|Pma_10019583, P_fucata|Pma_10031645, P_fucata|Pma_10024686, P_fucata|Pma_10006295, P_fucata|Pma_10026409, P_fucata|Pma_10012443, P_fucata|Pma_10016439, P_fucata|Pma_10011110, P_fucata|Pma_10022590, P_fucata|Pma_10023292, P_fucata|Pma_10013452, P_fucata|Pma_10013450, P_fucata|Pma_10014320
OG0000019	L_gigantea|XP_009059734.1	P_fucata|Pma_10027659
OG0000019	L_gigantea|XP_009062371.1	P_fucata|Pma_10025141
OG0000019	L_gigantea|XP_009053791.1	P_fucata|Pma_10004783, P_fucata|Pma_10004784
OG0000019	L_gigantea|XP_009057899.1	P_fucata|Pma_10004192
OG0000019	L_gigantea|XP_009063508.1	P_fucata|Pma_10020247
OG0000019	L_gigantea|XP_009056958.1	P_fucata|Pma_10023026, P_fucata|Pma_10013841
OG0000019	L_gigantea|XP_009047890.1	P_fucata|Pma_10003080
OG0000020	L_gigantea|XP_009046332.1, L_gigantea|XP_009046334.1, L_gigantea|XP_009046333.1	P_fucata|Pma_10019387, P_fucata|Pma_10020902
OG0000020	L_gigantea|XP_009047653.1, L_gigantea|XP_009051451.1, L_gigantea|XP_009051452.1, L_gigantea|XP_009054607.1, L_gigantea|XP_009059079.1	P_fucata|Pma_10026027, P_fucata|Pma_10001746
OG0000021	L_gigantea|XP_009061998.1	P_fucata|Pma_10031676, P_fucata|Pma_10018803, P_fucata|Pma_10018494, P_fucata|Pma_312.314, P_fucata|Pma_10025973, P_fucata|Pma_388.228
OG0000021	L_gigantea|XP_009045657.1, L_gigantea|XP_009053740.1	P_fucata|Pma_211.729, P_fucata|Pma_291.611, P_fucata|Pma_10000128
OG0000023	L_gigantea|XP_009044903.1	P_fucata|Pma_10014854
OG0000024	L_gigantea|XP_009056746.1	P_fucata|Pma_10012487
OG0000025	L_gigantea|XP_009048639.1	P_fucata|Pma_10016699
OG0000026	L_gigantea|XP_009051788.1	P_fucata|Pma_10004014
OG0000027	L_gigantea|XP_009058327.1	P_fucata|Pma_10008115
OG0000028	L_gigantea|XP_009050366.1	P_fucata|Pma_10025415
OG0000029	L_gigantea|XP_009051479.1	P_fucata|Pma_10031590
OG0000030	L_gigantea|XP_009051490.1	P_fucata|Pma_10019276
OG0000031	L_gigantea|XP_009055442.1	P_fucata|Pma_10004601
OG0000032	L_gigantea|XP_009048498.1	P_fucata|Pma_10001679
OG0000033	L_gigantea|XP_009056300.1	P_fucata|Pma_10026789
OG0000034	L_gigantea|XP_009054295.1	P_fucata|Pma_10032131
OG0000035	L_gigantea|XP_009063552.1	P_fucata|Pma_10016128
OG0000036	L_gigantea|XP_009048015.1	P_fucata|Pma_10028537
OG0000037	L_gigantea|XP_009045422.1	P_fucata|Pma_10007898
OG0000038	L_gigantea|XP_009067307.1	P_fucata|Pma_225.222
OG0000039	L_gigantea|XP_009046521.1	P_fucata|Pma_10017118
OG0000040	L_gigantea|XP_009047712.1	P_fucata|Pma_10009782
OG0000041	L_gigantea|XP_009050006.1	P_fucata|Pma_10020132
OG0000042	L_gigantea|XP_009062528.1	P_fucata|Pma_10002130
OG0000043	L_gigantea|XP_009045632.1	P_fucata|Pma_10008006
OG0000044	L_gigantea|XP_009057767.1	P_fucata|Pma_10030088
OG0000045	L_gigantea|XP_009043858.1	P_fucata|Pma_10002234
OG0000046	L_gigantea|XP_009060904.1	P_fucata|Pma_10027324
OG0000047	L_gigantea|XP_009059115.1	P_fucata|Pma_10023216
OG0000048	L_gigantea|XP_009064850.1	P_fucata|Pma_10003678
OG0000049	L_gigantea|XP_009043632.1	P_fucata|Pma_10020653
OG0000050	L_gigantea|XP_009053420.1	P_fucata|Pma_10006139
OG0000051	L_gigantea|XP_009050923.1	P_fucata|Pma_10021729
OG0000052	L_gigantea|XP_009054282.1	P_fucata|Pma_10014024
OG0000053	L_gigantea|XP_009066668.1	P_fucata|Pma_10029871
OG0000054	L_gigantea|XP_009044613.1	P_fucata|Pma_10029064
OG0000055	L_gigantea|XP_009066700.1	P_fucata|Pma_10017450
OG0000056	L_gigantea|XP_009054866.1	P_fucata|Pma_10015971
OG0000057	L_gigantea|XP_009047623.1	P_fucata|Pma_10013840
OG0000058	L_gigantea|XP_009060107.1	P_fucata|Pma_10014039
OG0000059	L_gigantea|XP_009060271.1	P_fucata|Pma_10022791
OG0000060	L_gigantea|XP_009056650.1	P_fucata|Pma_10022841
OG0000061	L_gigantea|XP_009053673.1	P_fucata|Pma_10032223
OG0000062	L_gigantea|XP_009059459.1	P_fucata|Pma_10006927
OG0000063	L_gigantea|XP_009053421.1	P_fucata|Pma_10026025
OG0000064	L_gigantea|XP_009051192.1	P_fucata|Pma_10001281
OG0000065	L_gigantea|XP_009050443.1	P_fucata|Pma_10008428
OG0000066	L_gigantea|XP_009046288.1	P_fucata|Pma_10031684
OG0000067	L_gigantea|XP_009050729.1	P_fucata|Pma_10022889
OG0000068	L_gigantea|XP_009064827.1	P_fucata|Pma_10017451
OG0000069	L_gigantea|XP_009048448.1	P_fucata|Pma_10015959
OG0000070	L_gigantea|XP_009063619.1	P_fucata|Pma_10013995
