HOG	OG	Gene Tree Parent Clade	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
N4.HOG0000000	OG0000000	n10		B_glabrata|XP_013090931.1						
N4.HOG0000001	OG0000000	n12		B_glabrata|XP_013066259.1, B_glabrata|XP_013093167.1			L_gigantea|XP_009065493.1			
N4.HOG0000002	OG0000000	n16					L_gigantea|XP_009045323.1			
N4.HOG0000003	OG0000001	n0					L_gigantea|XP_009043935.1, L_gigantea|XP_009043942.1, L_gigantea|XP_009044144.1, L_gigantea|XP_009044598.1, L_gigantea|XP_009044599.1, L_gigantea|XP_009044603.1, L_gigantea|XP_009044604.1, L_gigantea|XP_009044746.1, L_gigantea|XP_009044787.1, L_gigantea|XP_009044792.1, L_gigantea|XP_009044828.1, L_gigantea|XP_009044923.1, L_gigantea|XP_009044936.1, L_gigantea|XP_009045033.1, L_gigantea|XP_009045051.1, L_gigantea|XP_009045099.1, L_gigantea|XP_009045181.1, L_gigantea|XP_009045829.1, L_gigantea|XP_009045835.1, L_gigantea|XP_009045863.1, L_gigantea|XP_009046051.1, L_gigantea|XP_009046231.1, L_gigantea|XP_009046304.1, L_gigantea|XP_009046306.1, L_gigantea|XP_009046891.1, L_gigantea|XP_009047006.1, L_gigantea|XP_009047210.1, L_gigantea|XP_009047223.1, L_gigantea|XP_009047235.1, L_gigantea|XP_009047249.1, L_gigantea|XP_009047252.1, L_gigantea|XP_009047262.1, L_gigantea|XP_009047266.1, L_gigantea|XP_009047276.1, L_gigantea|XP_009047315.1, L_gigantea|XP_009047439.1, L_gigantea|XP_009047542.1, L_gigantea|XP_009047720.1, L_gigantea|XP_009047801.1, L_gigantea|XP_009047983.1, L_gigantea|XP_009047988.1, L_gigantea|XP_009048083.1, L_gigantea|XP_009048313.1, L_gigantea|XP_009048491.1, L_gigantea|XP_009048492.1, L_gigantea|XP_009048974.1, L_gigantea|XP_009049079.1, L_gigantea|XP_009049108.1, L_gigantea|XP_009049151.1, L_gigantea|XP_009049152.1, L_gigantea|XP_009049348.1, L_gigantea|XP_009049353.1, L_gigantea|XP_009049456.1, L_gigantea|XP_009049662.1, L_gigantea|XP_009049664.1, L_gigantea|XP_009049815.1, L_gigantea|XP_009049820.1, L_gigantea|XP_009049821.1, L_gigantea|XP_009049830.1, L_gigantea|XP_009049831.1, L_gigantea|XP_009049862.1, L_gigantea|XP_009049866.1, L_gigantea|XP_009049978.1, L_gigantea|XP_009049980.1, L_gigantea|XP_009049994.1, L_gigantea|XP_009049995.1, L_gigantea|XP_009050051.1, L_gigantea|XP_009050056.1, L_gigantea|XP_009050057.1, L_gigantea|XP_009050061.1, L_gigantea|XP_009050094.1, L_gigantea|XP_009050106.1, L_gigantea|XP_009050112.1, L_gigantea|XP_009050119.1, L_gigantea|XP_009050290.1, L_gigantea|XP_009050401.1, L_gigantea|XP_009050532.1, L_gigantea|XP_009050858.1, L_gigantea|XP_009051204.1, L_gigantea|XP_009051205.1, L_gigantea|XP_009051298.1, L_gigantea|XP_009051520.1, L_gigantea|XP_009051962.1, L_gigantea|XP_009052091.1, L_gigantea|XP_009052093.1, L_gigantea|XP_009052126.1, L_gigantea|XP_009052136.1, L_gigantea|XP_009052142.1, L_gigantea|XP_009052147.1, L_gigantea|XP_009052148.1, L_gigantea|XP_009052570.1, L_gigantea|XP_009052598.1, L_gigantea|XP_009052961.1, L_gigantea|XP_009053175.1, L_gigantea|XP_009053180.1, L_gigantea|XP_009053217.1, L_gigantea|XP_009053227.1, L_gigantea|XP_009053316.1, L_gigantea|XP_009053317.1, L_gigantea|XP_009053323.1, L_gigantea|XP_009053329.1, L_gigantea|XP_009053385.1, L_gigantea|XP_009053397.1, L_gigantea|XP_009053774.1, L_gigantea|XP_009054120.1, L_gigantea|XP_009054382.1, L_gigantea|XP_009054423.1, L_gigantea|XP_009054475.1, L_gigantea|XP_009054483.1, L_gigantea|XP_009054489.1, L_gigantea|XP_009054530.1, L_gigantea|XP_009054887.1, L_gigantea|XP_009054888.1, L_gigantea|XP_009054915.1, L_gigantea|XP_009054926.1, L_gigantea|XP_009054930.1, L_gigantea|XP_009055340.1, L_gigantea|XP_009055343.1, L_gigantea|XP_009055534.1, L_gigantea|XP_009055535.1, L_gigantea|XP_009055635.1, L_gigantea|XP_009055863.1, L_gigantea|XP_009055967.1, L_gigantea|XP_009055968.1, L_gigantea|XP_009055994.1, L_gigantea|XP_009056103.1, L_gigantea|XP_009056154.1, L_gigantea|XP_009056160.1, L_gigantea|XP_009056172.1, L_gigantea|XP_009056173.1, L_gigantea|XP_009056178.1, L_gigantea|XP_009056210.1, L_gigantea|XP_009056211.1, L_gigantea|XP_009056243.1, L_gigantea|XP_009056404.1, L_gigantea|XP_009056410.1, L_gigantea|XP_009056583.1, L_gigantea|XP_009056864.1, L_gigantea|XP_009056869.1, L_gigantea|XP_009056875.1, L_gigantea|XP_009056881.1, L_gigantea|XP_009057063.1, L_gigantea|XP_009057106.1, L_gigantea|XP_009057154.1, L_gigantea|XP_009057158.1, L_gigantea|XP_009057491.1, L_gigantea|XP_009057507.1, L_gigantea|XP_009057510.1, L_gigantea|XP_009057511.1, L_gigantea|XP_009057512.1, L_gigantea|XP_009057513.1, L_gigantea|XP_009057517.1, L_gigantea|XP_009057530.1, L_gigantea|XP_009057536.1, L_gigantea|XP_009057547.1, L_gigantea|XP_009057554.1, L_gigantea|XP_009057560.1, L_gigantea|XP_009057567.1, L_gigantea|XP_009057571.1, L_gigantea|XP_009057974.1, L_gigantea|XP_009058153.1, L_gigantea|XP_009058170.1, L_gigantea|XP_009058188.1, L_gigantea|XP_009058203.1, L_gigantea|XP_009058381.1, L_gigantea|XP_009058417.1, L_gigantea|XP_009058421.1, L_gigantea|XP_009058428.1, L_gigantea|XP_009058526.1, L_gigantea|XP_009058534.1, L_gigantea|XP_009058542.1, L_gigantea|XP_009058547.1, L_gigantea|XP_009058551.1, L_gigantea|XP_009058581.1, L_gigantea|XP_009058837.1, L_gigantea|XP_009059022.1, L_gigantea|XP_009059282.1, L_gigantea|XP_009059283.1, L_gigantea|XP_009059343.1, L_gigantea|XP_009060426.1, L_gigantea|XP_009060427.1, L_gigantea|XP_009060435.1, L_gigantea|XP_009060436.1, L_gigantea|XP_009060500.1, L_gigantea|XP_009060511.1, L_gigantea|XP_009060587.1, L_gigantea|XP_009060608.1, L_gigantea|XP_009060611.1, L_gigantea|XP_009060615.1, L_gigantea|XP_009060616.1, L_gigantea|XP_009060628.1, L_gigantea|XP_009060636.1, L_gigantea|XP_009060637.1, L_gigantea|XP_009060645.1, L_gigantea|XP_009060656.1, L_gigantea|XP_009060671.1, L_gigantea|XP_009060716.1, L_gigantea|XP_009060726.1, L_gigantea|XP_009060763.1, L_gigantea|XP_009060772.1, L_gigantea|XP_009060775.1, L_gigantea|XP_009060776.1, L_gigantea|XP_009060841.1, L_gigantea|XP_009060854.1, L_gigantea|XP_009061090.1, L_gigantea|XP_009061252.1, L_gigantea|XP_009061271.1, L_gigantea|XP_009061312.1, L_gigantea|XP_009061527.1, L_gigantea|XP_009061677.1, L_gigantea|XP_009061829.1, L_gigantea|XP_009061847.1, L_gigantea|XP_009061867.1, L_gigantea|XP_009061868.1, L_gigantea|XP_009061916.1, L_gigantea|XP_009062038.1, L_gigantea|XP_009062270.1, L_gigantea|XP_009062434.1, L_gigantea|XP_009062676.1, L_gigantea|XP_009062843.1, L_gigantea|XP_009063059.1, L_gigantea|XP_009063079.1, L_gigantea|XP_009063143.1, L_gigantea|XP_009063378.1, L_gigantea|XP_009063454.1, L_gigantea|XP_009063599.1, L_gigantea|XP_009063691.1, L_gigantea|XP_009063727.1, L_gigantea|XP_009063728.1, L_gigantea|XP_009063743.1, L_gigantea|XP_009063756.1, L_gigantea|XP_009063790.1, L_gigantea|XP_009063803.1, L_gigantea|XP_009063934.1, L_gigantea|XP_009064195.1, L_gigantea|XP_009064196.1, L_gigantea|XP_009064242.1, L_gigantea|XP_009064279.1, L_gigantea|XP_009064528.1, L_gigantea|XP_009064570.1, L_gigantea|XP_009064623.1, L_gigantea|XP_009064679.1, L_gigantea|XP_009064683.1, L_gigantea|XP_009065069.1, L_gigantea|XP_009065311.1, L_gigantea|XP_009065312.1, L_gigantea|XP_009065508.1, L_gigantea|XP_009065513.1, L_gigantea|XP_009065552.1, L_gigantea|XP_009065553.1, L_gigantea|XP_009065831.1, L_gigantea|XP_009065905.1, L_gigantea|XP_009065913.1, L_gigantea|XP_009066401.1, L_gigantea|XP_009066642.1, L_gigantea|XP_009066693.1, L_gigantea|XP_009066797.1, L_gigantea|XP_009067060.1, L_gigantea|XP_009067362.1			
N4.HOG0000004	OG0000003	n1					L_gigantea|XP_009065411.1			
N4.HOG0000005	OG0000003	n11					L_gigantea|XP_009061655.1, L_gigantea|XP_009061656.1			
N4.HOG0000006	OG0000003	n49					L_gigantea|XP_009057653.1, L_gigantea|XP_009058591.1			
N4.HOG0000007	OG0000003	n86					L_gigantea|XP_009053435.1, L_gigantea|XP_009053436.1, L_gigantea|XP_009053437.1, L_gigantea|XP_009059572.1, L_gigantea|XP_009059573.1			
N4.HOG0000008	OG0000003	n187					L_gigantea|XP_009061854.1			
N4.HOG0000009	OG0000003	n189		B_glabrata|XP_013061439.1						
