0_0: A_granulata|evm.model.Super-Scaffold_100002.117_1
0_1: A_granulata|evm.model.Super-Scaffold_100005.884_1
0_2: A_granulata|evm.model.Super-Scaffold_100008.679_1
0_3: A_granulata|evm.model.Super-Scaffold_100010.607_1
0_4: A_granulata|evm.model.Super-Scaffold_100013.373_1
0_5: A_granulata|evm.model.Super-Scaffold_100025.188_1
0_6: A_granulata|model.g2134.t1_1
0_7: A_granulata|model.g1298.t1_1
0_8: A_granulata|model.g100.t1_1
0_9: A_granulata|model.g501.t1_1
0_10: A_granulata|model.g1883.t1_1
0_11: A_granulata|model.g1662.t1_1
0_12: A_granulata|model.g3215.t1_1
0_13: A_granulata|model.g3997.t1_1
0_14: A_granulata|model.g4135.t1_1
0_15: A_granulata|model.g3909.t1_1
0_16: A_granulata|model.g5912.t1_1
0_17: A_granulata|model.g6072.t1_1
0_18: A_granulata|model.g8800.t1_1
0_19: A_granulata|model.g8671.t1_1
0_20: A_granulata|model.g9992.t1_1
0_21: A_granulata|model.g9597.t1_1
0_22: A_granulata|model.g11944.t1_1
0_23: A_granulata|model.g13152.t1_1
0_24: A_granulata|model.g14860.t1_1
0_25: A_granulata|model.g15250.t1_1
0_26: A_granulata|model.g15596.t1_1
0_27: A_granulata|model.g17957.t1_1
0_28: A_granulata|model.g30402.t1_1
0_29: A_granulata|model.g29359.t1_1
0_30: A_granulata|model.g28777.t1_1
0_31: A_granulata|model.g29911.t1_1
0_32: A_granulata|model.g1284.t1.1.5d3b82d5_1
0_33: A_granulata|model.g2097.t1_1
0_34: A_granulata|model.g89.t1.1.5d3b81fd_1
0_35: A_granulata|model.g763.t1_model.g765.t1_1
0_36: A_granulata|model.g4291.t1_1
0_37: A_granulata|model.g6491.t1.1.5d3b8503_1
0_38: A_granulata|model.g7388.t1_1
0_39: A_granulata|model.g7604.t1.1.5d3b84b3_1
0_40: A_granulata|model.g8718.t1.1.5d3b85ae_1
0_41: A_granulata|model.g7299.t1_1
0_42: A_granulata|model.g13274.t1_1
0_43: A_granulata|model.g17523.t1_1
0_44: A_granulata|model.g17660.t1_1
0_45: A_granulata|model.g20823.t1_1
0_46: A_granulata|model.g29179.t1_1
0_47: A_granulata|model.g31682.t1_1
0_48: A_granulata|model.g32000.t1_1
0_49: A_granulata|evm.model.Super-Scaffold_100002.1334_1
0_50: A_granulata|evm.model.Super-Scaffold_100002.116_1
0_51: A_granulata|evm.model.Super-Scaffold_100003.1461_1
0_52: A_granulata|evm.model.Super-Scaffold_100005.1019_1
0_53: A_granulata|evm.model.Super-Scaffold_100005.516_1
0_54: A_granulata|evm.model.Super-Scaffold_100007.336_1
0_55: A_granulata|evm.model.Super-Scaffold_100008.672_1
0_56: A_granulata|evm.model.Super-Scaffold_100008.360_1
0_57: A_granulata|evm.model.Super-Scaffold_100010.96_1
0_58: A_granulata|evm.model.Super-Scaffold_100010.774_1
0_59: A_granulata|evm.model.Super-Scaffold_100012.639_1
0_60: A_granulata|evm.model.Super-Scaffold_100012.626_1
0_61: A_granulata|evm.model.Super-Scaffold_100013.404_1
0_62: A_granulata|evm.model.Super-Scaffold_100013.612_1
0_63: A_granulata|evm.model.Super-Scaffold_100014.348_1
0_64: A_granulata|evm.model.Super-Scaffold_100014.41_1
0_65: A_granulata|evm.model.Super-Scaffold_100014.589_1
0_66: A_granulata|evm.model.Super-Scaffold_100014.508_1
0_67: A_granulata|evm.model.Super-Scaffold_100016.19_1
0_68: A_granulata|evm.model.Super-Scaffold_100018.141_1
0_69: A_granulata|evm.model.Super-Scaffold_100022.138_1
0_70: A_granulata|evm.model.Super-Scaffold_100029.163_1
0_71: A_granulata|evm.model.Super-Scaffold_100036.71_1
0_72: A_granulata|evm.model.Super-Scaffold_100043.6_1
0_73: A_granulata|evm.model.Super-Scaffold_505.1025_1
0_74: A_granulata|evm.model.Super-Scaffold_505.997_1
0_75: A_granulata|evm.model.Super-Scaffold_505.1563_1
0_76: A_granulata|evm.model.Super-Scaffold_505.956_1
0_77: A_granulata|model.g1400.t1_1
0_78: A_granulata|model.g5493.t1_1
0_79: A_granulata|model.g5916.t1_1
0_80: A_granulata|model.g11055.t1_1
0_81: A_granulata|model.g10656.t1_1
0_82: A_granulata|model.g18286.t1_1
0_83: A_granulata|model.g17875.t1_1
0_84: A_granulata|model.g19830.t1_1
0_85: A_granulata|model.g24667.t1_1
0_86: A_granulata|model.g28397.t1_1
0_87: A_granulata|model.g29469.t1_1
0_88: A_granulata|model.g21510.t1_1
0_89: A_granulata|model.g27050.t1.2.5d3b8bdd_1
0_90: A_granulata|model.g29458.t1_1
0_91: A_granulata|model.g9167.t1_1
0_92: A_granulata|model.g24762.t1_1
0_93: A_granulata|model.g24679.t1_1
0_94: A_granulata|model.g8281.t1_1
0_95: A_granulata|model.g12389.t1.1.5d3b8706_1
0_96: A_granulata|model.g21540.t1_1
0_97: A_granulata|model.g26226.t1_1
0_98: A_granulata|model.g24978.t1_1
0_99: A_granulata|evm.model.Super-Scaffold_100002.278_1
0_100: A_granulata|evm.model.Super-Scaffold_100002.1619_1
0_101: A_granulata|evm.model.Super-Scaffold_100002.1811_1
0_102: A_granulata|evm.model.Super-Scaffold_100002.433_1
0_103: A_granulata|evm.model.Super-Scaffold_100002.1950_1
0_104: A_granulata|evm.model.Super-Scaffold_100002.1953_1
0_105: A_granulata|evm.model.Super-Scaffold_100002.55_1
0_106: A_granulata|evm.model.Super-Scaffold_100002.162_1
0_107: A_granulata|evm.model.Super-Scaffold_100002.547_1
0_108: A_granulata|evm.model.Super-Scaffold_100003.478_1
0_109: A_granulata|evm.model.Super-Scaffold_100003.581_1
0_110: A_granulata|evm.model.Super-Scaffold_100003.9_1
0_111: A_granulata|evm.model.Super-Scaffold_100003.479_1
0_112: A_granulata|evm.model.Super-Scaffold_100003.1107_1
0_113: A_granulata|evm.model.Super-Scaffold_100003.1227_1
0_114: A_granulata|evm.model.Super-Scaffold_100003.1895_1
0_115: A_granulata|evm.model.Super-Scaffold_100003.1045_1
0_116: A_granulata|evm.model.Super-Scaffold_100003.419_1
0_117: A_granulata|evm.model.Super-Scaffold_100004.70_1
0_118: A_granulata|evm.model.Super-Scaffold_100004.1289_1
0_119: A_granulata|evm.model.Super-Scaffold_100004.83_1
0_120: A_granulata|evm.model.Super-Scaffold_100004.1225_1
0_121: A_granulata|evm.model.Super-Scaffold_100004.71_1
0_122: A_granulata|evm.model.Super-Scaffold_100004.474_1
0_123: A_granulata|evm.model.Super-Scaffold_100004.37_1
0_124: A_granulata|evm.model.Super-Scaffold_100004.981_1
0_125: A_granulata|evm.model.Super-Scaffold_100005.473_1
0_126: A_granulata|evm.model.Super-Scaffold_100005.869_1
0_127: A_granulata|evm.model.Super-Scaffold_100005.137_1
0_128: A_granulata|evm.model.Super-Scaffold_100005.1219_1
0_129: A_granulata|evm.model.Super-Scaffold_100005.1041_1
0_130: A_granulata|evm.model.Super-Scaffold_100005.467_1
0_131: A_granulata|evm.model.Super-Scaffold_100006.517_1
