Orthogroup	H_robusta_2	A_granulata_2
OG0000000	H_robusta|ESO10944.1	A_granulata|model.g24978.t1_1
OG0000003	H_robusta|ESO09122.1	A_granulata|model.g26226.t1_1, A_granulata|model.g9167.t1_1, A_granulata|model.g8281.t1_1, A_granulata|model.g24679.t1_1, A_granulata|model.g21540.t1_1, A_granulata|model.g12389.t1.1.5d3b8706_1, A_granulata|model.g24762.t1_1
OG0000007	H_robusta|ESN93723.1	A_granulata|model.g6273.t1_1
OG0000007	H_robusta|ESO04500.1	A_granulata|evm.model.Super-Scaffold_100004.707_1
OG0000007	H_robusta|ESO04949.1	A_granulata|evm.model.Super-Scaffold_100009.926_1
OG0000007	H_robusta|ESO13175.1	A_granulata|evm.model.Super-Scaffold_100004.333_1
OG0000007	H_robusta|ESN99971.1	A_granulata|evm.model.Super-Scaffold_100004.295_1
OG0000007	H_robusta|ESO09755.1	A_granulata|evm.model.Super-Scaffold_100004.411_1
OG0000007	H_robusta|ESO05584.1	A_granulata|evm.model.Super-Scaffold_100004.301_1
OG0000007	H_robusta|ESN90265.1, H_robusta|ESO07168.1	A_granulata|model.g6264.t1_model.g6265.t1_1
OG0000007	H_robusta|ESO01742.1	A_granulata|model.g13936.t1_1
OG0000007	H_robusta|ESN95559.1	A_granulata|model.g13938.t1_1
OG0000007	H_robusta|ESO01497.1	A_granulata|model.g5761.t1_1
OG0000007	H_robusta|ESN93724.1, H_robusta|ESO04948.1	A_granulata|model.g6270.t1.2.5d3b84cf_1
OG0000007	H_robusta|ESO07165.1	A_granulata|model.g6274.t1_1
OG0000009	H_robusta|ESO12556.1	A_granulata|evm.model.Super-Scaffold_100012.506_1
OG0000009	H_robusta|ESN95530.1, H_robusta|ESO00696.1	A_granulata|evm.model.Super-Scaffold_100002.833_1, A_granulata|evm.model.Super-Scaffold_100013.583_1
OG0000009	H_robusta|ESO05234.1, H_robusta|ESN99757.1	A_granulata|evm.model.Super-Scaffold_100010.662_1, A_granulata|evm.model.Super-Scaffold_505.1121_1, A_granulata|evm.model.Super-Scaffold_100006.676_1, A_granulata|evm.model.Super-Scaffold_505.1606_1
OG0000009	H_robusta|ESO08076.1, H_robusta|ESO08099.1	A_granulata|evm.model.Super-Scaffold_100014.34_1
