Orthogroup	B_glabrata_2	A_granulata_2
OG0000000	B_glabrata|XP_013090931.1, B_glabrata|XP_013093167.1, B_glabrata|XP_013066259.1	A_granulata|model.g24978.t1_1
OG0000003	B_glabrata|XP_013061439.1	A_granulata|model.g24762.t1_1
OG0000007	B_glabrata|XP_013075772.1	A_granulata|evm.model.Super-Scaffold_100004.707_1
OG0000007	B_glabrata|XP_013082066.1	A_granulata|evm.model.Super-Scaffold_100009.926_1
OG0000007	B_glabrata|XP_013079326.1	A_granulata|evm.model.Super-Scaffold_100004.411_1
OG0000007	B_glabrata|XP_013085966.1, B_glabrata|XP_013073864.1	A_granulata|model.g6275.t1_1
OG0000007	B_glabrata|XP_013081957.1	A_granulata|model.g13936.t1_1
OG0000007	B_glabrata|XP_013082062.1	A_granulata|model.g13938.t1_1
OG0000007	B_glabrata|XP_013063618.1	A_granulata|model.g5761.t1_1
OG0000007	B_glabrata|XP_013094229.1	A_granulata|evm.model.Super-Scaffold_100006.1323_1
OG0000009	B_glabrata|XP_013076273.1	A_granulata|evm.model.Super-Scaffold_100012.506_1
OG0000009	B_glabrata|XP_013063303.1	A_granulata|evm.model.Super-Scaffold_505.1121_1, A_granulata|evm.model.Super-Scaffold_100006.676_1, A_granulata|evm.model.Super-Scaffold_505.1606_1
OG0000009	B_glabrata|XP_013082520.1	A_granulata|model.g14108.t1_1
OG0000009	B_glabrata|XP_013071348.1	A_granulata|evm.model.Super-Scaffold_100006.1281_1, A_granulata|model.g14402.t1_1
OG0000011	B_glabrata|XP_013083200.1	A_granulata|model.g14860.t1_1
OG0000015	B_glabrata|XP_013076970.1	A_granulata|model.g11415.t1_1
OG0000015	B_glabrata|XP_013077189.1	A_granulata|evm.model.Super-Scaffold_100002.249_1
OG0000016	B_glabrata|XP_013068640.1, B_glabrata|XP_013068639.1, B_glabrata|XP_013090968.1, B_glabrata|XP_013089408.1, B_glabrata|XP_013090966.1, B_glabrata|XP_013093196.1, B_glabrata|XP_013094005.1, B_glabrata|XP_013080962.1, B_glabrata|XP_013062374.1, B_glabrata|XP_013080662.1, B_glabrata|XP_013093671.1, B_glabrata|XP_013078245.1, B_glabrata|XP_013086582.1, B_glabrata|XP_013086580.1, B_glabrata|XP_013091907.1, B_glabrata|XP_013092990.1, B_glabrata|XP_013096412.1	A_granulata|evm.model.Super-Scaffold_100019.314_1, A_granulata|model.g20194.t1_1, A_granulata|evm.model.Super-Scaffold_100016.112_1, A_granulata|model.g19855.t1_1, A_granulata|evm.model.Super-Scaffold_505.1528_1, A_granulata|model.g26165.t1_1, A_granulata|evm.model.Super-Scaffold_100005.476_1, A_granulata|evm.model.Super-Scaffold_100037.2_1, A_granulata|model.g8906.t1_1
OG0000017	B_glabrata|XP_013083785.1	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1
OG0000019	B_glabrata|XP_013083944.1	A_granulata|model.g7414.t1_1
OG0000019	B_glabrata|XP_013072245.1	A_granulata|model.g14035.t1_1
OG0000019	B_glabrata|XP_013063444.1	A_granulata|model.g11738.t1.5.5d3b86a4_1, A_granulata|model.g8205.t1_1
OG0000020	B_glabrata|XP_013063795.1	A_granulata|model.g11218.t1_1, A_granulata|model.g27971.t1_1, A_granulata|model.g12669.t1_1, A_granulata|model.g11836.t1_1
OG0000023	B_glabrata|XP_013069100.1	A_granulata|evm.model.Super-Scaffold_100002.117_1
