Orthogroup	P_fucata_2	L_gigantea_2
OG0000003	P_fucata|Pma_10012388, P_fucata|Pma_10024689, P_fucata|Pma_10024688	L_gigantea|XP_009058591.1, L_gigantea|XP_009057653.1
OG0000003	P_fucata|Pma_10.1359	L_gigantea|XP_009059572.1, L_gigantea|XP_009053437.1, L_gigantea|XP_009059573.1, L_gigantea|XP_009053435.1, L_gigantea|XP_009053436.1
OG0000003	P_fucata|Pma_10026479, P_fucata|Pma_10018317	L_gigantea|XP_009061854.1
OG0000004	P_fucata|Pma_10021546	L_gigantea|XP_009061714.1, L_gigantea|XP_009061776.1, L_gigantea|XP_009061781.1
OG0000007	P_fucata|Pma_10017847	L_gigantea|XP_009046443.1, L_gigantea|XP_009046442.1
OG0000007	P_fucata|Pma_10010607, P_fucata|Pma_532.177	L_gigantea|XP_009046440.1
OG0000007	P_fucata|Pma_10009355	L_gigantea|XP_009046446.1
OG0000007	P_fucata|Pma_10023863	L_gigantea|XP_009065435.1
OG0000007	P_fucata|Pma_10030419	L_gigantea|XP_009046439.1
OG0000007	P_fucata|Pma_10006875, P_fucata|Pma_207.322	L_gigantea|XP_009046438.1
OG0000007	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649	L_gigantea|XP_009065436.1
OG0000007	P_fucata|Pma_10016536	L_gigantea|XP_009046479.1
OG0000007	P_fucata|Pma_10027249	L_gigantea|XP_009065931.1, L_gigantea|XP_009065930.1
OG0000007	P_fucata|Pma_10017849	L_gigantea|XP_009046441.1
OG0000007	P_fucata|Pma_10008710	L_gigantea|XP_009046445.1
OG0000009	P_fucata|Pma_10032418	L_gigantea|XP_009044518.1
OG0000009	P_fucata|Pma_10006517	L_gigantea|XP_009055766.1, L_gigantea|XP_009064105.1
OG0000009	P_fucata|Pma_10025848, P_fucata|Pma_10012721	L_gigantea|XP_009051792.1
OG0000009	P_fucata|Pma_10011588	L_gigantea|XP_009046723.1, L_gigantea|XP_009058115.1
OG0000009	P_fucata|Pma_10021751	L_gigantea|XP_009044627.1
OG0000009	P_fucata|Pma_10028191	L_gigantea|XP_009057810.1
OG0000009	P_fucata|Pma_10012832	L_gigantea|XP_009053527.1
OG0000011	P_fucata|Pma_10023646	L_gigantea|XP_009053022.1
OG0000015	P_fucata|Pma_10020663	L_gigantea|XP_009049765.1
OG0000016	P_fucata|Pma_10013077, P_fucata|Pma_10013078, P_fucata|Pma_10021023, P_fucata|Pma_10013072, P_fucata|Pma_10017238, P_fucata|Pma_10013074, P_fucata|Pma_2.319, P_fucata|Pma_10002971, P_fucata|Pma_10026311, P_fucata|Pma_10019994, P_fucata|Pma_10020228, P_fucata|Pma_10026308, P_fucata|Pma_10017082, P_fucata|Pma_10010486, P_fucata|Pma_10005410, P_fucata|Pma_10026304, P_fucata|Pma_10026305, P_fucata|Pma_10026309, P_fucata|Pma_10002972, P_fucata|Pma_10027671	L_gigantea|XP_009066031.1
OG0000017	P_fucata|Pma_10029257, P_fucata|Pma_10029259, P_fucata|Pma_10024934	L_gigantea|XP_009054246.1
OG0000017	P_fucata|Pma_10029261, P_fucata|Pma_10003264, P_fucata|Pma_10029262, P_fucata|Pma_10021622, P_fucata|Pma_10031907, P_fucata|Pma_10005159, P_fucata|Pma_10016044, P_fucata|Pma_10016367, P_fucata|Pma_10023166	L_gigantea|XP_009061494.1
