Orthogroup	C_virginica_2	A_granulata_2
OG0000000	C_virginica|XP_022320371.1	A_granulata|model.g24978.t1_1
OG0000003	C_virginica|XP_022337452.1	A_granulata|model.g26226.t1_1
OG0000003	C_virginica|XP_022343542.1	A_granulata|model.g21540.t1_1
OG0000003	C_virginica|XP_022339391.1, C_virginica|XP_022330926.1, C_virginica|XP_022330927.1, C_virginica|XP_022330928.1	A_granulata|model.g12389.t1.1.5d3b8706_1
OG0000003	C_virginica|XP_022295727.1, C_virginica|XP_022299926.1, C_virginica|XP_022295699.1, C_virginica|XP_022295728.1, C_virginica|XP_022304396.1	A_granulata|model.g24762.t1_1
OG0000007	C_virginica|XP_022308431.1	A_granulata|model.g6273.t1_1, A_granulata|model.g6272.t1_1
OG0000007	C_virginica|XP_022307961.1	A_granulata|evm.model.Super-Scaffold_100004.707_1
OG0000007	C_virginica|XP_022316903.1	A_granulata|evm.model.Super-Scaffold_100004.411_1
OG0000007	C_virginica|XP_022286090.1	A_granulata|evm.model.Super-Scaffold_100004.301_1
OG0000007	C_virginica|XP_022291943.1	A_granulata|model.g6264.t1_model.g6265.t1_1
OG0000007	C_virginica|XP_022326937.1	A_granulata|model.g13936.t1_1
OG0000007	C_virginica|XP_022328330.1	A_granulata|model.g13938.t1_1
OG0000007	C_virginica|XP_022324615.1	A_granulata|model.g5761.t1_1
OG0000007	C_virginica|XP_022320319.1, C_virginica|XP_022320653.1	A_granulata|evm.model.Super-Scaffold_100006.1323_1
OG0000007	C_virginica|XP_022340779.1	A_granulata|model.g6270.t1.2.5d3b84cf_1
OG0000007	C_virginica|XP_022342129.1	A_granulata|model.g6274.t1_1
OG0000009	C_virginica|XP_022335688.1	A_granulata|evm.model.Super-Scaffold_100012.506_1
OG0000009	C_virginica|XP_022316864.1	A_granulata|evm.model.Super-Scaffold_100004.157_1
OG0000009	C_virginica|XP_022299766.1	A_granulata|evm.model.Super-Scaffold_100013.618_1
OG0000009	C_virginica|XP_022335661.1	A_granulata|evm.model.Super-Scaffold_505.825_1
OG0000009	C_virginica|XP_022338842.1, C_virginica|XP_022338942.1	A_granulata|evm.model.Super-Scaffold_100002.833_1, A_granulata|evm.model.Super-Scaffold_100013.583_1
OG0000009	C_virginica|XP_022286105.1, C_virginica|XP_022346077.1	A_granulata|model.g14108.t1_1
OG0000009	C_virginica|XP_022338373.1, C_virginica|XP_022338900.1	A_granulata|evm.model.Super-Scaffold_100006.1281_1, A_granulata|model.g14402.t1_1
OG0000011	C_virginica|XP_022340848.1	A_granulata|model.g14860.t1_1
OG0000015	C_virginica|XP_022341159.1	A_granulata|evm.model.Super-Scaffold_100002.249_1
OG0000016	C_virginica|XP_022308580.1, C_virginica|XP_022294752.1, C_virginica|XP_022293525.1, C_virginica|XP_022332689.1, C_virginica|XP_022334600.1	A_granulata|evm.model.Super-Scaffold_100019.314_1, A_granulata|model.g20194.t1_1, A_granulata|evm.model.Super-Scaffold_100016.112_1, A_granulata|model.g19855.t1_1, A_granulata|evm.model.Super-Scaffold_505.1528_1, A_granulata|model.g26165.t1_1, A_granulata|evm.model.Super-Scaffold_100005.476_1, A_granulata|evm.model.Super-Scaffold_100037.2_1, A_granulata|model.g8906.t1_1
OG0000017	C_virginica|XP_022344548.1, C_virginica|XP_022344551.1, C_virginica|XP_022343020.1	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1
OG0000019	C_virginica|XP_022314994.1	A_granulata|model.g7414.t1_1
OG0000019	C_virginica|XP_022337519.1	A_granulata|model.g14035.t1_1
OG0000019	C_virginica|XP_022312847.1, C_virginica|XP_022312947.1	A_granulata|model.g7451.t1_1
OG0000019	C_virginica|XP_022302633.1	A_granulata|model.g11738.t1.5.5d3b86a4_1
OG0000019	C_virginica|XP_022313153.1	A_granulata|model.g8205.t1_1
OG0000020	C_virginica|XP_022331975.1, C_virginica|XP_022331976.1	A_granulata|model.g11218.t1_1, A_granulata|model.g27971.t1_1, A_granulata|model.g12669.t1_1, A_granulata|model.g11836.t1_1, A_granulata|model.g12028.t1_1, A_granulata|model.g12671.t1_1
OG0000021	C_virginica|XP_022320337.1, C_virginica|XP_022319163.1, C_virginica|XP_022330434.1, C_virginica|XP_022342549.1, C_virginica|XP_022291094.1, C_virginica|XP_022291640.1, C_virginica|XP_022308078.1, C_virginica|XP_022293003.1, C_virginica|XP_022304791.1, C_virginica|XP_022317583.1	A_granulata|model.g31071.t1_1, A_granulata|evm.model.Super-Scaffold_100012.51_1
OG0000023	C_virginica|XP_022322019.1	A_granulata|evm.model.Super-Scaffold_100002.117_1
OG0000024	C_virginica|XP_022319000.1	A_granulata|evm.model.Super-Scaffold_100005.884_1
OG0000025	C_virginica|XP_022316668.1	A_granulata|evm.model.Super-Scaffold_100008.679_1
