Orthogroup	S_constricta_2	B_glabrata_2
OG0000000	S_constricta|evm.model.ctg125.4	B_glabrata|XP_013090931.1, B_glabrata|XP_013093167.1, B_glabrata|XP_013066259.1
OG0000003	S_constricta|evm.model.ctg370.15, S_constricta|evm.model.ctg370.16.1, S_constricta|evm.model.ctg370.17.1, S_constricta|evm.model.ctg52.31, S_constricta|evm.model.ctg791.11, S_constricta|evm.model.ctg1599.1, S_constricta|evm.model.ctg791.12, S_constricta|evm.model.ctg3910.2, S_constricta|evm.model.ctg46.3, S_constricta|evm.model.ctg140.28, S_constricta|evm.model.ctg140.29, S_constricta|evm.model.ctg2046.12, S_constricta|evm.model.ctg5546.1, S_constricta|evm.model.ctg2046.11, S_constricta|evm.model.ctg2046.13, S_constricta|evm.model.ctg1840.1, S_constricta|evm.model.ctg140.26, S_constricta|evm.model.ctg2046.10, S_constricta|evm.model.ctg1771.1, S_constricta|evm.model.ctg1977.1, S_constricta|evm.model.ctg1708.1, S_constricta|evm.model.ctg1755.1, S_constricta|evm.model.ctg125.83, S_constricta|evm.model.ctg142.51.1, S_constricta|evm.model.ctg4263.1, S_constricta|evm.model.ctg1804.2	B_glabrata|XP_013061439.1
OG0000007	S_constricta|evm.model.ctg412.18	B_glabrata|XP_013075772.1
OG0000007	S_constricta|evm.model.ctg380.19	B_glabrata|XP_013079326.1
OG0000007	S_constricta|evm.model.ctg436.7	B_glabrata|XP_013085966.1, B_glabrata|XP_013073864.1
OG0000007	S_constricta|evm.model.ctg306.3	B_glabrata|XP_013081957.1
OG0000007	S_constricta|evm.model.ctg306.4	B_glabrata|XP_013082062.1
OG0000007	S_constricta|evm.model.ctg562.15	B_glabrata|XP_013094229.1
OG0000007	S_constricta|evm.model.ctg436.1	B_glabrata|XP_013086911.1, B_glabrata|XP_013093880.1
OG0000009	S_constricta|evm.model.ctg67.88	B_glabrata|XP_013074409.1
OG0000009	S_constricta|evm.model.ctg1628.1, S_constricta|evm.model.ctg6192.1, S_constricta|evm.model.ctg1696.4	B_glabrata|XP_013080003.1, B_glabrata|XP_013094576.1, B_glabrata|XP_013063268.1
OG0000009	S_constricta|evm.model.ctg4423.1, S_constricta|evm.model.ctg300.11	B_glabrata|XP_013064161.1
OG0000009	S_constricta|evm.model.ctg923.6	B_glabrata|XP_013063303.1
OG0000009	S_constricta|evm.model.ctg1144.9	B_glabrata|XP_013082520.1
OG0000011	S_constricta|evm.model.ctg366.24	B_glabrata|XP_013083200.1
