Orthogroup	P_fucata_2	O_bimaculoides_2
OG0000000	P_fucata|Pma_10011348	O_bimaculoides|XP_014767873.1
OG0000007	P_fucata|Pma_10001157	O_bimaculoides|XP_014780359.1
OG0000007	P_fucata|Pma_10023863	O_bimaculoides|XP_014780502.1
OG0000007	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649	O_bimaculoides|XP_014769873.1
OG0000007	P_fucata|Pma_10016536	O_bimaculoides|XP_014767862.1
OG0000007	P_fucata|Pma_10008710	O_bimaculoides|XP_014781016.1
OG0000009	P_fucata|Pma_10032418	O_bimaculoides|XP_014769217.1
OG0000009	P_fucata|Pma_10025848, P_fucata|Pma_10012721	O_bimaculoides|XP_014782742.1
OG0000009	P_fucata|Pma_10020874	O_bimaculoides|XP_014790175.1
OG0000009	P_fucata|Pma_325.96	O_bimaculoides|XP_014768598.1, O_bimaculoides|XP_014771819.1
OG0000011	P_fucata|Pma_10023646	O_bimaculoides|XP_014785327.1
OG0000017	P_fucata|Pma_10029257, P_fucata|Pma_10029259, P_fucata|Pma_10024934	O_bimaculoides|XP_014773512.1
OG0000019	P_fucata|Pma_10019755	O_bimaculoides|XP_014781196.1
OG0000019	P_fucata|Pma_10004783, P_fucata|Pma_10004784	O_bimaculoides|XP_014772300.1
OG0000019	P_fucata|Pma_10023026, P_fucata|Pma_10013841, P_fucata|Pma_10003080	O_bimaculoides|XP_014780698.1
OG0000020	P_fucata|Pma_10019387, P_fucata|Pma_10020902, P_fucata|Pma_10026027, P_fucata|Pma_10001746	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1
OG0000023	P_fucata|Pma_10014854	O_bimaculoides|XP_014787445.1
OG0000024	P_fucata|Pma_10012487	O_bimaculoides|XP_014778891.1
OG0000025	P_fucata|Pma_10016699	O_bimaculoides|XP_014789699.1
OG0000026	P_fucata|Pma_10004014	O_bimaculoides|XP_014789426.1
OG0000027	P_fucata|Pma_10008115	O_bimaculoides|XP_014788131.1
OG0000028	P_fucata|Pma_10025415	O_bimaculoides|XP_014790475.1
OG0000029	P_fucata|Pma_10031590	O_bimaculoides|XP_014772627.1
OG0000030	P_fucata|Pma_10019276	O_bimaculoides|XP_014784674.1
OG0000031	P_fucata|Pma_10004601	O_bimaculoides|XP_014787618.1
OG0000032	P_fucata|Pma_10001679	O_bimaculoides|XP_014773878.1
OG0000033	P_fucata|Pma_10026789	O_bimaculoides|XP_014769418.1
OG0000034	P_fucata|Pma_10032131	O_bimaculoides|XP_014777276.1
OG0000035	P_fucata|Pma_10016128	O_bimaculoides|XP_014772225.1
OG0000036	P_fucata|Pma_10028537	O_bimaculoides|XP_014776166.1
OG0000037	P_fucata|Pma_10007898	O_bimaculoides|XP_014785114.1
OG0000038	P_fucata|Pma_225.222	O_bimaculoides|XP_014773522.1
OG0000039	P_fucata|Pma_10017118	O_bimaculoides|XP_014772348.1
OG0000040	P_fucata|Pma_10009782	O_bimaculoides|XP_014788148.1
OG0000041	P_fucata|Pma_10020132	O_bimaculoides|XP_014773542.1
OG0000042	P_fucata|Pma_10002130	O_bimaculoides|XP_014775340.1
OG0000043	P_fucata|Pma_10008006	O_bimaculoides|XP_014783376.1
OG0000044	P_fucata|Pma_10030088	O_bimaculoides|XP_014767759.1
OG0000045	P_fucata|Pma_10002234	O_bimaculoides|XP_014774176.1
OG0000046	P_fucata|Pma_10027324	O_bimaculoides|XP_014772041.1
OG0000047	P_fucata|Pma_10023216	O_bimaculoides|XP_014770126.1
OG0000048	P_fucata|Pma_10003678	O_bimaculoides|XP_014783673.1
OG0000049	P_fucata|Pma_10020653	O_bimaculoides|XP_014790578.1
OG0000050	P_fucata|Pma_10006139	O_bimaculoides|XP_014773139.1
OG0000051	P_fucata|Pma_10021729	O_bimaculoides|XP_014776868.1
OG0000052	P_fucata|Pma_10014024	O_bimaculoides|XP_014790391.1
OG0000053	P_fucata|Pma_10029871	O_bimaculoides|XP_014778145.1
OG0000054	P_fucata|Pma_10029064	O_bimaculoides|XP_014779552.1
OG0000055	P_fucata|Pma_10017450	O_bimaculoides|XP_014775648.1
OG0000056	P_fucata|Pma_10015971	O_bimaculoides|XP_014783300.1
OG0000057	P_fucata|Pma_10013840	O_bimaculoides|XP_014774168.1
OG0000058	P_fucata|Pma_10014039	O_bimaculoides|XP_014785555.1
OG0000059	P_fucata|Pma_10022791	O_bimaculoides|XP_014789933.1
OG0000060	P_fucata|Pma_10022841	O_bimaculoides|XP_014776694.1
OG0000061	P_fucata|Pma_10032223	O_bimaculoides|XP_014790210.1
OG0000062	P_fucata|Pma_10006927	O_bimaculoides|XP_014772987.1
OG0000063	P_fucata|Pma_10026025	O_bimaculoides|XP_014776218.1
OG0000064	P_fucata|Pma_10001281	O_bimaculoides|XP_014783678.1
OG0000065	P_fucata|Pma_10008428	O_bimaculoides|XP_014772273.1
OG0000066	P_fucata|Pma_10031684	O_bimaculoides|XP_014778623.1
OG0000067	P_fucata|Pma_10022889	O_bimaculoides|XP_014771836.1
OG0000068	P_fucata|Pma_10017451	O_bimaculoides|XP_014789121.1
OG0000069	P_fucata|Pma_10015959	O_bimaculoides|XP_014772840.1
OG0000070	P_fucata|Pma_10013995	O_bimaculoides|XP_014789614.1
