Orthogroup	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
OG0000079	A_granulata|evm.model.Super-Scaffold_100002.1334_1							
OG0000080	A_granulata|evm.model.Super-Scaffold_100002.116_1							
OG0000081	A_granulata|evm.model.Super-Scaffold_100003.1461_1							
OG0000082	A_granulata|evm.model.Super-Scaffold_100005.1019_1							
OG0000083	A_granulata|evm.model.Super-Scaffold_100005.516_1							
OG0000084	A_granulata|evm.model.Super-Scaffold_100007.336_1							
OG0000085	A_granulata|evm.model.Super-Scaffold_100008.672_1							
OG0000086	A_granulata|evm.model.Super-Scaffold_100008.360_1							
OG0000087	A_granulata|evm.model.Super-Scaffold_100010.96_1							
OG0000088	A_granulata|evm.model.Super-Scaffold_100010.774_1							
OG0000089	A_granulata|evm.model.Super-Scaffold_100012.639_1							
OG0000090	A_granulata|evm.model.Super-Scaffold_100012.626_1							
OG0000091	A_granulata|evm.model.Super-Scaffold_100013.404_1							
OG0000092	A_granulata|evm.model.Super-Scaffold_100013.612_1							
OG0000093	A_granulata|evm.model.Super-Scaffold_100014.348_1							
OG0000094	A_granulata|evm.model.Super-Scaffold_100014.41_1							
OG0000095	A_granulata|evm.model.Super-Scaffold_100014.589_1							
OG0000096	A_granulata|evm.model.Super-Scaffold_100014.508_1							
OG0000097	A_granulata|evm.model.Super-Scaffold_100016.19_1							
OG0000098	A_granulata|evm.model.Super-Scaffold_100018.141_1							
OG0000099	A_granulata|evm.model.Super-Scaffold_100022.138_1							
OG0000100	A_granulata|evm.model.Super-Scaffold_100029.163_1							
OG0000101	A_granulata|evm.model.Super-Scaffold_100036.71_1							
OG0000102	A_granulata|evm.model.Super-Scaffold_100043.6_1							
OG0000103	A_granulata|evm.model.Super-Scaffold_505.1025_1							
OG0000104	A_granulata|evm.model.Super-Scaffold_505.997_1							
OG0000105	A_granulata|evm.model.Super-Scaffold_505.1563_1							
OG0000106	A_granulata|evm.model.Super-Scaffold_505.956_1							
OG0000107	A_granulata|model.g1400.t1_1							
OG0000108	A_granulata|model.g5493.t1_1							
OG0000109	A_granulata|model.g5916.t1_1							
OG0000110	A_granulata|model.g11055.t1_1							
OG0000111	A_granulata|model.g10656.t1_1							
OG0000112	A_granulata|model.g18286.t1_1							
OG0000113	A_granulata|model.g17875.t1_1							
OG0000114	A_granulata|model.g19830.t1_1							
OG0000115	A_granulata|model.g24667.t1_1							
OG0000116	A_granulata|model.g28397.t1_1							
OG0000117	A_granulata|model.g29469.t1_1							
OG0000118	A_granulata|model.g21510.t1_1							
OG0000119	A_granulata|model.g27050.t1.2.5d3b8bdd_1							
OG0000120	A_granulata|model.g29458.t1_1							
OG0000121	A_granulata|evm.model.Super-Scaffold_100004.706_1							
OG0000122	A_granulata|model.g5760.t1_1							
OG0000123	A_granulata|model.g6266.t1_1							
OG0000124		B_glabrata|XP_013060935.1						
OG0000125		B_glabrata|XP_013061407.1						
OG0000126		B_glabrata|XP_013061475.1						
OG0000127		B_glabrata|XP_013062356.1						
OG0000128		B_glabrata|XP_013062668.1						
OG0000129		B_glabrata|XP_013062677.1						
OG0000130		B_glabrata|XP_013062868.1						
OG0000131		B_glabrata|XP_013063289.1						
OG0000132		B_glabrata|XP_013063324.1						
OG0000133		B_glabrata|XP_013064971.1						
OG0000134		B_glabrata|XP_013066103.1						
OG0000135		B_glabrata|XP_013067177.1						
OG0000136		B_glabrata|XP_013070276.1						
OG0000137		B_glabrata|XP_013070295.1						
OG0000138		B_glabrata|XP_013070675.1						
OG0000139		B_glabrata|XP_013071122.1						
OG0000140		B_glabrata|XP_013071934.1						
OG0000141		B_glabrata|XP_013072010.1						
OG0000142		B_glabrata|XP_013072166.1						
OG0000143		B_glabrata|XP_013072849.1						
OG0000144		B_glabrata|XP_013073841.1						
OG0000145		B_glabrata|XP_013074246.1						
