Orthogroup	L_gigantea_2	H_robusta_2
OG0000003	L_gigantea|XP_009065411.1	H_robusta|ESO09370.1
OG0000003	L_gigantea|XP_009061655.1, L_gigantea|XP_009061656.1, L_gigantea|XP_009058591.1, L_gigantea|XP_009057653.1, L_gigantea|XP_009059572.1, L_gigantea|XP_009053437.1, L_gigantea|XP_009059573.1, L_gigantea|XP_009053435.1, L_gigantea|XP_009053436.1, L_gigantea|XP_009061854.1	H_robusta|ESO09122.1
OG0000007	L_gigantea|XP_009046443.1	H_robusta|ESN93723.1
OG0000007	L_gigantea|XP_009046440.1	H_robusta|ESO04500.1
OG0000007	L_gigantea|XP_009052766.1	H_robusta|ESO13175.1
OG0000007	L_gigantea|XP_009055159.1, L_gigantea|XP_009055160.1	H_robusta|ESO09755.1
OG0000007	L_gigantea|XP_009063633.1	H_robusta|ESO05584.1
OG0000007	L_gigantea|XP_009046437.1	H_robusta|ESN90265.1, H_robusta|ESO07168.1
OG0000007	L_gigantea|XP_009065435.1	H_robusta|ESO01742.1
OG0000007	L_gigantea|XP_009065436.1	H_robusta|ESN95559.1
OG0000007	L_gigantea|XP_009046479.1	H_robusta|ESO01497.1
OG0000007	L_gigantea|XP_009065931.1	H_robusta|ESN99512.1
OG0000007	L_gigantea|XP_009046441.1	H_robusta|ESN93724.1, H_robusta|ESO04948.1
OG0000007	L_gigantea|XP_009046445.1, L_gigantea|XP_009046444.1	H_robusta|ESO07165.1
OG0000009	L_gigantea|XP_009058738.1	H_robusta|ESN91984.1
OG0000009	L_gigantea|XP_009044518.1	H_robusta|ESO12556.1
OG0000009	L_gigantea|XP_009046723.1, L_gigantea|XP_009058115.1, L_gigantea|XP_009059556.1	H_robusta|ESN95234.1
OG0000009	L_gigantea|XP_009064159.1, L_gigantea|XP_009053527.1	H_robusta|ESO05234.1, H_robusta|ESN99757.1
OG0000009	L_gigantea|XP_009053915.1	H_robusta|ESO00154.1, H_robusta|ESO04934.1
OG0000011	L_gigantea|XP_009053022.1	H_robusta|ESN93667.1
OG0000011	L_gigantea|XP_009044047.1	H_robusta|ESO04681.1
OG0000015	L_gigantea|XP_009047434.1	H_robusta|ESN91326.1
OG0000015	L_gigantea|XP_009049765.1	H_robusta|ESN99536.1
OG0000015	L_gigantea|XP_009052518.1	H_robusta|ESN90293.1
OG0000016	L_gigantea|XP_009066031.1	H_robusta|ESO12711.1, H_robusta|ESO12860.1
OG0000017	L_gigantea|XP_009054246.1	H_robusta|ESO10253.1
OG0000019	L_gigantea|XP_009050388.1	H_robusta|ESO05380.1
OG0000019	L_gigantea|XP_009062371.1, L_gigantea|XP_009054782.1, L_gigantea|XP_009053791.1, L_gigantea|XP_009057899.1, L_gigantea|XP_009044088.1, L_gigantea|XP_009063508.1, L_gigantea|XP_009056958.1, L_gigantea|XP_009047890.1	H_robusta|ESO09462.1
OG0000023	L_gigantea|XP_009044903.1	H_robusta|ESO00598.1
OG0000024	L_gigantea|XP_009056746.1	H_robusta|ESN91305.1
OG0000025	L_gigantea|XP_009048639.1	H_robusta|ESN91955.1
OG0000026	L_gigantea|XP_009051788.1	H_robusta|ESN95294.1
OG0000027	L_gigantea|XP_009058327.1	H_robusta|ESO08179.1
OG0000028	L_gigantea|XP_009050366.1	H_robusta|ESO08129.1
OG0000029	L_gigantea|XP_009051479.1	H_robusta|ESO13052.1
OG0000030	L_gigantea|XP_009051490.1	H_robusta|ESO09280.1
OG0000031	L_gigantea|XP_009055442.1	H_robusta|ESO09736.1
OG0000032	L_gigantea|XP_009048498.1	H_robusta|ESO02199.1
OG0000033	L_gigantea|XP_009056300.1	H_robusta|ESN90052.1
OG0000034	L_gigantea|XP_009054295.1	H_robusta|ESN90476.1
OG0000035	L_gigantea|XP_009063552.1	H_robusta|ESO10634.1
OG0000036	L_gigantea|XP_009048015.1	H_robusta|ESO10298.1
OG0000037	L_gigantea|XP_009045422.1	H_robusta|ESN95204.1
OG0000038	L_gigantea|XP_009067307.1	H_robusta|ESO05119.1
OG0000039	L_gigantea|XP_009046521.1	H_robusta|ESN96911.1
OG0000040	L_gigantea|XP_009047712.1	H_robusta|ESO01626.1
OG0000041	L_gigantea|XP_009050006.1	H_robusta|ESO00575.1
OG0000042	L_gigantea|XP_009062528.1	H_robusta|ESN96167.1
OG0000043	L_gigantea|XP_009045632.1	H_robusta|ESO04933.1
OG0000044	L_gigantea|XP_009057767.1	H_robusta|ESO00697.1
OG0000045	L_gigantea|XP_009043858.1	H_robusta|ESN99635.1
OG0000046	L_gigantea|XP_009060904.1	H_robusta|ESO10083.1
OG0000047	L_gigantea|XP_009059115.1	H_robusta|ESN91550.1
OG0000048	L_gigantea|XP_009064850.1	H_robusta|ESO13187.1
OG0000049	L_gigantea|XP_009043632.1	H_robusta|ESN98754.1
OG0000050	L_gigantea|XP_009053420.1	H_robusta|ESO00076.1
OG0000051	L_gigantea|XP_009050923.1	H_robusta|ESN99728.1
OG0000052	L_gigantea|XP_009054282.1	H_robusta|ESN98670.1
OG0000053	L_gigantea|XP_009066668.1	H_robusta|ESO03583.1
OG0000054	L_gigantea|XP_009044613.1	H_robusta|ESO10888.1
OG0000055	L_gigantea|XP_009066700.1	H_robusta|ESN91162.1
OG0000056	L_gigantea|XP_009054866.1	H_robusta|ESO08731.1
OG0000057	L_gigantea|XP_009047623.1	H_robusta|ESO06944.1
OG0000058	L_gigantea|XP_009060107.1	H_robusta|ESO09558.1
OG0000059	L_gigantea|XP_009060271.1	H_robusta|ESN94151.1
OG0000060	L_gigantea|XP_009056650.1	H_robusta|ESN99626.1
OG0000061	L_gigantea|XP_009053673.1	H_robusta|ESO02346.1
