Orthogroup	Species	C_virginica_2	Orthologs
OG0000000	A_granulata_2	C_virginica|XP_022320371.1	A_granulata|model.g24978.t1_1
OG0000000	O_bimaculoides_2	C_virginica|XP_022320371.1	O_bimaculoides|XP_014771511.1, O_bimaculoides|XP_014780432.1, O_bimaculoides|XP_014767873.1, O_bimaculoides|XP_014777119.1, O_bimaculoides|XP_014782583.1, O_bimaculoides|XP_014787392.1, O_bimaculoides|XP_014788767.1, O_bimaculoides|XP_014778851.1, O_bimaculoides|XP_014771000.1, O_bimaculoides|XP_014788766.1, O_bimaculoides|XP_014769801.1, O_bimaculoides|XP_014775061.1, O_bimaculoides|XP_014777876.1, O_bimaculoides|XP_014777878.1, O_bimaculoides|XP_014777873.1, O_bimaculoides|XP_014783006.1, O_bimaculoides|XP_014783007.1, O_bimaculoides|XP_014777880.1, O_bimaculoides|XP_014785424.1, O_bimaculoides|XP_014789954.1, O_bimaculoides|XP_014790351.1, O_bimaculoides|XP_014777875.1, O_bimaculoides|XP_014777872.1, O_bimaculoides|XP_014790859.1, O_bimaculoides|XP_014787196.1, O_bimaculoides|XP_014769713.1, O_bimaculoides|XP_014769313.1, O_bimaculoides|XP_014769791.1, O_bimaculoides|XP_014784259.1, O_bimaculoides|XP_014787344.1, O_bimaculoides|XP_014769699.1, O_bimaculoides|XP_014769719.1, O_bimaculoides|XP_014775427.1, O_bimaculoides|XP_014784290.1, O_bimaculoides|XP_014767658.1, O_bimaculoides|XP_014776277.1, O_bimaculoides|XP_014780995.1, O_bimaculoides|XP_014776271.1, O_bimaculoides|XP_014776272.1, O_bimaculoides|XP_014776276.1, O_bimaculoides|XP_014776273.1, O_bimaculoides|XP_014776278.1, O_bimaculoides|XP_014769127.1, O_bimaculoides|XP_014784179.1, O_bimaculoides|XP_014790673.1, O_bimaculoides|XP_014774826.1, O_bimaculoides|XP_014790676.1, O_bimaculoides|XP_014781180.1, O_bimaculoides|XP_014775429.1, O_bimaculoides|XP_014784292.1, O_bimaculoides|XP_014777871.1, O_bimaculoides|XP_014772601.1, O_bimaculoides|XP_014781172.1, O_bimaculoides|XP_014784939.1, O_bimaculoides|XP_014784079.1, O_bimaculoides|XP_014787517.1, O_bimaculoides|XP_014784044.1, O_bimaculoides|XP_014787654.1, O_bimaculoides|XP_014775413.1, O_bimaculoides|XP_014787207.1, O_bimaculoides|XP_014775301.1, O_bimaculoides|XP_014781177.1, O_bimaculoides|XP_014784295.1, O_bimaculoides|XP_014775062.1, O_bimaculoides|XP_014782517.1, O_bimaculoides|XP_014784859.1, O_bimaculoides|XP_014790818.1, O_bimaculoides|XP_014769707.1, O_bimaculoides|XP_014769706.1, O_bimaculoides|XP_014784798.1, O_bimaculoides|XP_014784779.1, O_bimaculoides|XP_014784631.1, O_bimaculoides|XP_014784735.1, O_bimaculoides|XP_014771284.1, O_bimaculoides|XP_014771285.1, O_bimaculoides|XP_014781185.1, O_bimaculoides|XP_014782536.1, O_bimaculoides|XP_014784643.1, O_bimaculoides|XP_014769698.1, O_bimaculoides|XP_014784867.1, O_bimaculoides|XP_014790857.1, O_bimaculoides|XP_014776402.1, O_bimaculoides|XP_014783005.1, O_bimaculoides|XP_014777874.1, O_bimaculoides|XP_014782605.1, O_bimaculoides|XP_014778210.1, O_bimaculoides|XP_014769125.1, O_bimaculoides|XP_014778209.1, O_bimaculoides|XP_014773424.1, O_bimaculoides|XP_014769712.1, O_bimaculoides|XP_014783882.1, O_bimaculoides|XP_014783883.1, O_bimaculoides|XP_014783880.1, O_bimaculoides|XP_014783896.1, O_bimaculoides|XP_014783901.1, O_bimaculoides|XP_014783020.1, O_bimaculoides|XP_014767519.1, O_bimaculoides|XP_014782913.1, O_bimaculoides|XP_014783009.1, O_bimaculoides|XP_014787198.1, O_bimaculoides|XP_014779315.1, O_bimaculoides|XP_014769786.1, O_bimaculoides|XP_014769798.1, O_bimaculoides|XP_014772736.1, O_bimaculoides|XP_014776279.1, O_bimaculoides|XP_014789947.1, O_bimaculoides|XP_014769799.1, O_bimaculoides|XP_014785854.1, O_bimaculoides|XP_014791207.1, O_bimaculoides|XP_014781812.1, O_bimaculoides|XP_014782538.1, O_bimaculoides|XP_014784289.1, O_bimaculoides|XP_014782056.1, O_bimaculoides|XP_014769720.1, O_bimaculoides|XP_014769696.1, O_bimaculoides|XP_014768189.1, O_bimaculoides|XP_014781808.1, O_bimaculoides|XP_014788029.1, O_bimaculoides|XP_014788034.1, O_bimaculoides|XP_014769714.1, O_bimaculoides|XP_014775063.1, O_bimaculoides|XP_014769794.1, O_bimaculoides|XP_014787163.1, O_bimaculoides|XP_014787399.1, O_bimaculoides|XP_014787390.1, O_bimaculoides|XP_014772592.1, O_bimaculoides|XP_014787398.1, O_bimaculoides|XP_014775419.1, O_bimaculoides|XP_014781173.1, O_bimaculoides|XP_014782048.1, O_bimaculoides|XP_014782540.1, O_bimaculoides|XP_014769124.1, O_bimaculoides|XP_014782607.1, O_bimaculoides|XP_014790840.1, O_bimaculoides|XP_014782312.1, O_bimaculoides|XP_014783584.1, O_bimaculoides|XP_014781806.1, O_bimaculoides|XP_014782917.1, O_bimaculoides|XP_014776267.1, O_bimaculoides|XP_014768941.1, O_bimaculoides|XP_014778211.1, O_bimaculoides|XP_014776137.1, O_bimaculoides|XP_014782514.1, O_bimaculoides|XP_014787659.1, O_bimaculoides|XP_014769711.1, O_bimaculoides|XP_014782912.1, O_bimaculoides|XP_014782539.1, O_bimaculoides|XP_014783888.1, O_bimaculoides|XP_014789744.1, O_bimaculoides|XP_014783885.1, O_bimaculoides|XP_014783886.1, O_bimaculoides|XP_014772722.1, O_bimaculoides|XP_014776407.1, O_bimaculoides|XP_014781193.1, O_bimaculoides|XP_014772598.1, O_bimaculoides|XP_014789992.1, O_bimaculoides|XP_014790004.1, O_bimaculoides|XP_014782311.1, O_bimaculoides|XP_014789584.1, O_bimaculoides|XP_014777354.1, O_bimaculoides|XP_014783378.1, O_bimaculoides|XP_014776274.1, O_bimaculoides|XP_014780996.1, O_bimaculoides|XP_014782665.1, O_bimaculoides|XP_014787112.1, O_bimaculoides|XP_014784249.1, O_bimaculoides|XP_014776266.1, O_bimaculoides|XP_014789951.1, O_bimaculoides|XP_014784000.1, O_bimaculoides|XP_014768971.1, O_bimaculoides|XP_014768963.1, O_bimaculoides|XP_014768968.1, O_bimaculoides|XP_014789586.1, O_bimaculoides|XP_014775066.1, O_bimaculoides|XP_014775070.1, O_bimaculoides|XP_014773915.1, O_bimaculoides|XP_014784940.1, O_bimaculoides|XP_014781807.1, O_bimaculoides|XP_014778108.1, O_bimaculoides|XP_014791211.1, O_bimaculoides|XP_014776401.1, O_bimaculoides|XP_014767660.1, O_bimaculoides|XP_014790675.1, O_bimaculoides|XP_014772749.1, O_bimaculoides|XP_014772742.1, O_bimaculoides|XP_014772735.1, O_bimaculoides|XP_014772725.1, O_bimaculoides|XP_014772750.1, O_bimaculoides|XP_014779345.1, O_bimaculoides|XP_014770951.1, O_bimaculoides|XP_014779346.1, O_bimaculoides|XP_014773561.1, O_bimaculoides|XP_014787652.1, O_bimaculoides|XP_014790263.1, O_bimaculoides|XP_014768942.1, O_bimaculoides|XP_014785719.1, O_bimaculoides|XP_014768958.1, O_bimaculoides|XP_014778878.1, O_bimaculoides|XP_014782903.1, O_bimaculoides|XP_014773808.1, O_bimaculoides|XP_014772733.1, O_bimaculoides|XP_014772726.1, O_bimaculoides|XP_014789416.1, O_bimaculoides|XP_014790423.1, O_bimaculoides|XP_014772737.1, O_bimaculoides|XP_014769285.1, O_bimaculoides|XP_014790054.1, O_bimaculoides|XP_014789411.1, O_bimaculoides|XP_014787287.1, O_bimaculoides|XP_014789417.1, O_bimaculoides|XP_014790106.1, O_bimaculoides|XP_014789624.1, O_bimaculoides|XP_014783526.1, O_bimaculoides|XP_014784589.1, O_bimaculoides|XP_014773290.1, O_bimaculoides|XP_014790103.1, O_bimaculoides|XP_014784588.1, O_bimaculoides|XP_014789625.1, O_bimaculoides|XP_014783525.1, O_bimaculoides|XP_014769315.1, O_bimaculoides|XP_014783527.1, O_bimaculoides|XP_014775067.1, O_bimaculoides|XP_014787290.1, O_bimaculoides|XP_014778890.1, O_bimaculoides|XP_014789415.1, O_bimaculoides|XP_014789991.1, O_bimaculoides|XP_014789413.1, O_bimaculoides|XP_014783523.1, O_bimaculoides|XP_014783528.1, O_bimaculoides|XP_014780227.1, O_bimaculoides|XP_014782520.1, O_bimaculoides|XP_014790002.1, O_bimaculoides|XP_014769303.1, O_bimaculoides|XP_014780707.1, O_bimaculoides|XP_014776409.1, O_bimaculoides|XP_014774829.1, O_bimaculoides|XP_014789995.1, O_bimaculoides|XP_014769282.1, O_bimaculoides|XP_014769284.1, O_bimaculoides|XP_014769283.1, O_bimaculoides|XP_014790052.1, O_bimaculoides|XP_014774681.1, O_bimaculoides|XP_014781839.1, O_bimaculoides|XP_014768174.1, O_bimaculoides|XP_014783586.1, O_bimaculoides|XP_014785720.1, O_bimaculoides|XP_014773423.1, O_bimaculoides|XP_014773947.1, O_bimaculoides|XP_014789279.1, O_bimaculoides|XP_014782315.1, O_bimaculoides|XP_014789957.1, O_bimaculoides|XP_014780703.1, O_bimaculoides|XP_014775064.1, O_bimaculoides|XP_014789278.1, O_bimaculoides|XP_014782606.1, O_bimaculoides|XP_014773809.1, O_bimaculoides|XP_014773421.1, O_bimaculoides|XP_014769796.1, O_bimaculoides|XP_014780702.1, O_bimaculoides|XP_014783017.1, O_bimaculoides|XP_014768965.1, O_bimaculoides|XP_014787653.1, O_bimaculoides|XP_014770952.1, O_bimaculoides|XP_014773416.1, O_bimaculoides|XP_014781689.1, O_bimaculoides|XP_014768456.1, O_bimaculoides|XP_014781686.1, O_bimaculoides|XP_014775415.1, O_bimaculoides|XP_014775412.1, O_bimaculoides|XP_014787157.1, O_bimaculoides|XP_014787161.1, O_bimaculoides|XP_014769471.1, O_bimaculoides|XP_014783205.1, O_bimaculoides|XP_014789499.1, O_bimaculoides|XP_014769489.1, O_bimaculoides|XP_014769469.1, O_bimaculoides|XP_014769490.1, O_bimaculoides|XP_014768457.1, O_bimaculoides|XP_014783208.1, O_bimaculoides|XP_014784100.1, O_bimaculoides|XP_014784127.1, O_bimaculoides|XP_014782268.1, O_bimaculoides|XP_014790836.1, O_bimaculoides|XP_014772715.1
OG0000000	H_robusta_2	C_virginica|XP_022320371.1	H_robusta|ESO10944.1
OG0000000	S_constricta_2	C_virginica|XP_022320371.1	S_constricta|evm.model.ctg599.11, S_constricta|evm.model.ctg125.4, S_constricta|evm.model.ctg227.23
OG0000000	L_gigantea_2	C_virginica|XP_022320371.1	L_gigantea|XP_009044634.1, L_gigantea|XP_009065493.1, L_gigantea|XP_009045323.1
OG0000000	B_glabrata_2	C_virginica|XP_022320371.1	B_glabrata|XP_013090931.1, B_glabrata|XP_013093167.1, B_glabrata|XP_013066259.1
OG0000000	P_fucata_2	C_virginica|XP_022320371.1	P_fucata|Pma_10011348
OG0000003	H_robusta_2	C_virginica|XP_022337452.1, C_virginica|XP_022296221.1, C_virginica|XP_022296188.1, C_virginica|XP_022301452.1, C_virginica|XP_022305689.1, C_virginica|XP_022309521.1, C_virginica|XP_022339384.1, C_virginica|XP_022328733.1, C_virginica|XP_022335146.1, C_virginica|XP_022330423.1, C_virginica|XP_022328732.1, C_virginica|XP_022335114.1, C_virginica|XP_022333687.1, C_virginica|XP_022333991.1, C_virginica|XP_022333686.1, C_virginica|XP_022333990.1, C_virginica|XP_022343542.1, C_virginica|XP_022309038.1, C_virginica|XP_022331274.1, C_virginica|XP_022337605.1, C_virginica|XP_022345326.1, C_virginica|XP_022310239.1, C_virginica|XP_022310854.1, C_virginica|XP_022310240.1, C_virginica|XP_022310856.1, C_virginica|XP_022339391.1, C_virginica|XP_022330926.1, C_virginica|XP_022330927.1, C_virginica|XP_022330928.1, C_virginica|XP_022292929.1, C_virginica|XP_022289652.1, C_virginica|XP_022287104.1, C_virginica|XP_022290415.1, C_virginica|XP_022287107.1, C_virginica|XP_022295073.1, C_virginica|XP_022297397.1, C_virginica|XP_022300762.1, C_virginica|XP_022295064.1, C_virginica|XP_022290814.1, C_virginica|XP_022290815.1, C_virginica|XP_022295028.1, C_virginica|XP_022299379.1, C_virginica|XP_022290497.1, C_virginica|XP_022293349.1, C_virginica|XP_022294732.1, C_virginica|XP_022293350.1, C_virginica|XP_022294733.1, C_virginica|XP_022294739.1, C_virginica|XP_022293077.1, C_virginica|XP_022294154.1, C_virginica|XP_022293075.1, C_virginica|XP_022294740.1, C_virginica|XP_022293080.1, C_virginica|XP_022294741.1, C_virginica|XP_022294432.1, C_virginica|XP_022294750.1, C_virginica|XP_022293578.1, C_virginica|XP_022293573.1, C_virginica|XP_022294207.1, C_virginica|XP_022294646.1, C_virginica|XP_022332278.1, C_virginica|XP_022344015.1, C_virginica|XP_022344065.1, C_virginica|XP_022335781.1, C_virginica|XP_022343659.1, C_virginica|XP_022295727.1, C_virginica|XP_022299926.1, C_virginica|XP_022295699.1, C_virginica|XP_022295728.1, C_virginica|XP_022304396.1	H_robusta|ESO09122.1
OG0000003	S_constricta_2	C_virginica|XP_022337452.1	S_constricta|evm.model.ctg805.3
OG0000003	A_granulata_2	C_virginica|XP_022337452.1	A_granulata|model.g26226.t1_1
